12/7/2024 19:01 น.,SA, D03,BPBPBBPPBBBTPPBPBPBPBTBBTTPBPPBPBBPBBPBBPBBBBPPPBBPPPBPPBBP
12/7/2024 19:05 น.,SA, D02,PTBBPPBBPPBBPBBPBBPPPPPBPPPBPPPTPPPPBBPPPBBPPPPBPPBBPPBBP
12/7/2024 19:18 น.,SA, D01,BTBTPPBBPBPPPPPBTBBBPBBPPBPPPBBPBBTBPTPPPBTPPBPBBPBPPPBBBBPB
12/7/2024 19:23 น.,SA, D08,BBPPPBPBPBPBPPPBBBBPPPTPPTPPBPPBBTBBBBBTPPTPBBTPBBBPPBBPBTBP
12/7/2024 19:33 น.,SA, D06,BPBPPPBBPPBPPBPPPPPBBBPPPBBPBPBPBBBPBBBPBBBBBPPPPBBBTBBBP
12/7/2024 19:34 น.,SA, D05,PBPPBBPPBBPBBPBBPPBPPPPPPBPBTBBBPPPPPPBPPBBBPPPPBBBPBPBB
12/7/2024 19:42 น.,SA, D04,PBPPPPBPBPBPPBPBBPPBTBPBBBPBPPBBPPPPBPPBPBBBBPBBPBBBPTBBBP
12/7/2024 19:52 น.,SA, D07,PPBBBPBPPTBPPPBBPTTPBBBPPBPPBPPPPBBPBBBPTBBTBPPTPBTBTP
12/7/2024 20:04 น.,SA, D03,PPPPPBBPPBPBPPBPBPPBBPBBPBPTBBBPPBBBPBBPPPBBPPBTBBPBPBBTBPTP
12/7/2024 20:08 น.,SA, D08,BBBPPBBPPBPPPPPBPTBPPPBTBBBBBPPBBBBPBBPPPPBPBBPBPBTPPPBBPT
12/7/2024 20:08 น.,SA, D08,BBBPPBBPPBPPPPPBPTBPPPBTBBBBBPPBBBBPBBPPPPBPBBPBPBTPPPBBP
12/7/2024 20:20 น.,SA, D01,PBPTBPPTPBPPPBBTBBBPPTBBBPTPPBPPBBBPPPBPBBPPBPBBBPPPPPBBBB
12/7/2024 20:27 น.,SA, D06,BPTBPTBBPPPBPPPBBBPPPPBPBBBBPBBBBBPBPBBBPPPPBBPBBBPPPPPTPTB
