before,dragon_rider,after,length,color
BPPPPB,PPPPPPPPBPPPPP,BBPPPB,13,P
BBBPBB,PPPPPBPPPPPP,BBPBBB,11,P
BPBBPB,PPPPPBPPPPP,BPPBPP,10,P
BPBBPP,BBBBBBPBBBBBBB,PBPPBB,13,B
BBBBBB,PPPPPBBPPPPPP,BBPBPB,11,P
PBBBBB,PPPPPBBBPPPPPPP,BBPPPB,12,P
BPBPBB,PPPPPBPPPPPPP,BBPPBP,12,P
BBBPBB,PPPPPPPBPPPPP,BBBBPB,12,P
PBBPPP,BBBBBPBBBBB,PBBPBP,10,B
BPPPPB,PPPPPBPPPPPP,BPPPBB,11,P
PPBPPP,BBBBBBBPBBBBB,PPPPPB,12,B
PBPBPP,BBBBBBBBBBBBPPBBBBB,PPBBPP,17,B
PBPBPP,BBBBBBBBBBBBPPBBBBB,PPBBPP,17,B
BPPBBB,PPPPPBPPPPP,BBBPPP,10,P
PBBPPB,PPPPPBPPPPPPP,BBBBPP,12,P
PPPBPB,PPPPPPBPPPPP,BBBPBP,11,P
BPPPPP,BBBBBPPBBBBB,PPPBPP,10,B
PPBBPP,BBBBBBBPPPBBBBB,PPBBBP,12,B
PPBPPP,BBBBBPBBBBBBB,PBBPBB,12,B
PPBBBB,PPPPPBPPPPPP,BPPBBB,11,P
BPPPBP,BBBBBPPPBBBBBBB,PPBBBB,12,B
PBPPBP,BBBBBPPBBBBBBBBB,PPPBBB,14,B
PPBPBP,BBBBBPBBBBBB,PBPPPB,11,B
BPPPBB,PPPPPPPBPPPPP,BPPPBB,12,P
BPPPPB,PPPPPPPBPPPPPP,BPPPPP,13,P
PBPPPP,BBBBBBBBBPPBBBBB,PPPBPB,14,B
PBPBPB,PPPPPBPPPPP,BPBBPP,10,P
BBPPPP,BBBBBBBBPPPBBBBB,PPBBPB,13,B
BBBPBP,BBBBBPPBBBBB,PBBPPB,10,B
BPPPBB,PPPPPPPPBBPPPPP,BPPBBP,13,P
BBBBBB,PPPPPPBBBPPPPP,BPPBBP,11,P
BBPBBP,BBBBBBBPBBBBB,PBBPBB,12,B
BPBPPB,PPPPPBPPPPPP,BBPBBB,11,P
BBBPPP,BBBBBBBPBBBBBB,PPBBBP,13,B
BBPBPB,PPPPPBBPPPPPPPPP,BPPPBP,14,P
BBPBPP,BBBBBBPPBBBBBB,PPPBPB,12,B
PPPBPP,BBBBBBPPBBBBB,PBBBBB,11,B
BPPPBP,BBBBBBPBBBBBB,PBPPPB,12,B
PBPBBP,BBBBBBBBBPPBBBBB,PBPPPB,14,B
PBPPBP,BBBBBBPBBBBBBB,PBBPBB,13,B
BBBPPP,BBBBBBPBBBBBB,PPPPBP,12,B
BPBBPP,BBBBBPPBBBBB,PPPPPP,10,B
PBBPBB,PPPPPBBPPPPP,BBPBBB,10,P
PPPPPP,BBBBBPPBBBBBB,PBBBBB,11,B
BPPBPP,BBBBBPBBBBB,PPPPPB,10,B
PPBBBB,PPPPPBPPPPPPP,BPBBPB,12,P
PBPPPP,BBBBBPPBBBBBBB,PPPPPB,12,B
BBBBPB,PPPPPPPBPPPPPPPPPPP,BPPBBB,18,P
PBPBBP,BBBBBBBBPBBBBB,PPBBBB,13,B
BPPBPP,BBBBBPBBBBB,PPBBPP,10,B
BBPPBB,PPPPPPPBPPPPP,BPPBBB,12,P
BBPBBB,PPPPPBBPPPPP,BPBBPB,10,P
PBBPBB,PPPPPPBPPPPPP,BBBBPP,12,P
BBPPBP,BBBBBBBPBBBBBB,PBBPPP,13,B
PBPPBP,BBBBBPPBBBBBBBBBB,PBBBPB,15,B
PBBPBP,BBBBBBBPBBBBBB,PBPPPB,13,B
BBBBBB,PPPPPPPPPBPPPPP,BBPPPP,14,P
PBPPBB,PPPPPPBPPPPP,BBPPBB,11,P
BBBBPP,BBBBBBBPBBBBBBB,PPBPPB,14,B
BBPPPP,BBBBBPBBBBB,PBPBBP,10,B
PPPBBB,PPPPPPBBPPPPPPPP,BBPPBP,14,P
BBBBPB,PPPPPBBPPPPPPP,BPPBPB,12,P
PPPPBB,PPPPPPPBPPPPP,BPPBBB,12,P
PBBPBP,BBBBBBPPPBBBBBB,PPBBPP,12,B
BPPPBP,BBBBBBPBBBBB,PBBBBP,11,B
BPBBBB,PPPPPPBPPPPPP,BBBBBB,12,P
BBPPBB,PPPPPBPPPPPP,BBBBBP,11,P
BPPPBP,BBBBBBPBBBBBBB,PPPBPP,13,B
PBBPPP,BBBBBBPPBBBBB,PBPPBP,11,B
BPBBBP,BBBBBPBBBBBBB,PPBPPP,12,B
BBPPPP,BBBBBPBBBBB,PPBPPB,10,B
BBPBPB,PPPPPBPPPPP,BBBPBP,10,P
PBPPPB,PPPPPBPPPPP,BBBPBP,10,P
PBBPPP,BBBBBBPPBBBBBB,PPBBBB,12,B
PPBBBB,PPPPPBPPPPPP,BBBPBP,11,P
PBPPBP,BBBBBPBBBBB,PPBPBB,10,B
PBBPBP,BBBBBPBBBBB,PPBPBP,10,B
PPBBPB,PPPPPPBPPPPPPP,BPPPBP,13,P
PPBPPP,BBBBBPBBBBBBB,PPBBBB,12,B
BBBPBP,BBBBBPPBBBBB,PPPPPB,10,B
BPBBPB,PPPPPBPPPPP,BBBBPB,10,P
BBPBPB,PPPPPBPPPPP,BPPBBB,10,P
BPPPPP,BBBBBPPPBBBBB,PBBPBP,10,B
BPPPPB,PPPPPPBPPPPP,BBPBBP,11,P
PPPBBP,BBBBBPBBBBBBB,PBBPPP,12,B
PPBBBB,PPPPPPBBBPPPPP,BBBPBB,11,P
PBBPBB,PPPPPBPPPPP,BBBBPP,10,P
PBBPPP,BBBBBPPPBBBBBBBB,PPBPPB,13,B
PBBBPP,BBBBBBBBPPBBBBB,PBBPPB,13,B
BBBPPP,BBBBBPPBBBBBB,PPBPBP,11,B
PBPPBP,BBBBBBPPPBBBBBB,PBBBBB,12,B
BBBBBP,BBBBBBPBBBBBB,PPPBPB,12,B
BBPBPB,PPPPPBPPPPPP,BPBPPP,11,P
PBPPBP,BBBBBBPBBBBBBB,PBPBPB,13,B
PPBPBB,PPPPPPBBPPPPP,BBPPBB,11,P
PBPPBB,PPPPPPBPPPPPPPP,BPBBBP,14,P
PBPBBB,PPPPPBPPPPP,BBBBPB,10,P
PBBPBB,PPPPPBPPPPPP,BPBPPP,11,P
PBPBPP,BBBBBPBBBBB,PBPBBP,10,B
PBPPPP,BBBBBPBBBBBBB,PBBBPP,12,B
BBBBPP,BBBBBPBBBBBBBBBB,PBBPPB,15,B
PPPPBP,BBBBBBBBBBPBBBBB,PPBBPB,15,B
PBBBBB,PPPPPBPPPPP,BBBBBP,10,P
PBPPBP,BBBBBBBPBBBBB,PPBBBB,12,B
BPBPBB,PPPPPBPPPPPPPPP,BBPBBP,14,P
BPPPPP,BBBBBPBBBBB,PBPBPP,10,B
BBBPPP,BBBBBPPPBBBBBB,PBBBBB,11,B
BBBPPP,BBBBBBBPBBBBB,PBBPBP,12,B
PBPBPB,PPPPPBBPPPPP,BBBBPB,10,P
BBPPPP,BBBBBBPBBBBB,PPBPBP,11,B
PPBPPB,PPPPPBBPPPPP,BBBBPP,10,P
PBPBPP,BBBBBBPPBBBBBB,PPBBBP,12,B
BPBPBP,BBBBBPBBBBBB,PPBBPB,11,B
PBBPBP,BBBBBBPBBBBBB,PPPPBP,12,B
PBPPBB,PPPPPBBBPPPPPP,BPBBBP,11,P
PBBPBB,PPPPPBBPPPPP,BBBPPP,10,P
BPBBBB,PPPPPPBPPPPP,BPPPBB,11,P
PBPPBB,PPPPPBPPPPP,BPPPBB,10,P
BPPBPP,BBBBBBPPBBBBBB,PBPPPB,12,B
PBBPPP,BBBBBBPPPBBBBBBBBB,PPBPPP,15,B
BPPPBP,BBBBBBPBBBBBBB,PBBPPP,13,B
BPPBBP,BBBBBPBBBBBB,PPBPPB,11,B
PBBBBP,BBBBBPBBBBB,PPPBBB,10,B
BPPPPB,PPPPPPPBBBPPPPPPPPPP,BBPPBP,17,P
PPPBBP,BBBBBPPPBBBBB,PPBPPP,10,B
PPBPPP,BBBBBBPBBBBBBB,PBBPPB,13,B
BBBBPB,PPPPPPPPBPPPPPPPPPP,BBPPBB,18,P
BBPBBB,PPPPPPBBPPPPP,BPBBBB,11,P
PBPBBB,PPPPPBPPPPP,BBBPBB,10,P
PBBBBP,BBBBBBPPBBBBB,PBPBBB,11,B
PPBBPP,BBBBBPBBBBBBB,PBPBBB,12,B
BPPBBP,BBBBBBBBBPBBBBB,PBPPPB,14,B
PPBBPP,BBBBBPBBBBB,PPBBPB,10,B
BPBBPB,PPPPPPPBBPPPPP,BBBPBP,12,P
PPBBBP,BBBBBPBBBBBBBBBB,PBBBPB,15,B
PPPBPB,PPPPPBPPPPPPPP,BPBBBB,13,P
PBBBPB,PPPPPBBBPPPPPPP,BPPPBP,12,P
PBBBPP,BBBBBBBBPBBBBB,PBPBPP,13,B
BPBBPB,PPPPPBPPPPPP,BBPPBP,11,P
BPBBBP,BBBBBPBBBBBBB,PPPPBP,12,B
BPBBPP,BBBBBBPBBBBB,PPPBBP,11,B
BBBBPP,BBBBBBPPBBBBBBBB,PPBBPB,14,B
PBBBPP,BBBBBBPPPBBBBBBB,PPPBPB,13,B
PPPBPP,BBBBBPBBBBB,PBBBPP,10,B
BBPPBP,BBBBBPPBBBBB,PPBBPB,10,B
PBBPPP,BBBBBPPPBBBBB,PPBPPB,10,B
BBBBPP,BBBBBPPBBBBB,PPPBPP,10,B
BPBBBB,PPPPPBBPPPPP,BPBPBP,10,P
BBPPBP,BBBBBPBBBBB,PBBBBP,10,B
BBPBBB,PPPPPPPPBPPPPP,BPPPPP,13,P
BPPBPB,PPPPPPPBPPPPPPPP,BPBPBP,15,P
PPBBBP,BBBBBBPBBBBBBBB,PPPPBB,14,B
PPBPBB,PPPPPBPPPPPP,BPBBBB,11,P
PBBPPP,BBBBBPPBBBBBBBB,PBPPPB,13,B
PBPBPP,BBBBBBBPBBBBBBB,PBPBPP,14,B
BBPPBB,PPPPPBPPPPPPP,BBPBBP,12,P
PBBPPB,PPPPPPPBPPPPP,BPBPBP,12,P
BPPBBP,BBBBBBPPBBBBBBB,PBPPPB,13,B
PPPBBP,BBBBBPBBBBB,PBBBPB,10,B
BBPBBP,BBBBBBPBBBBBB,PPBPBP,12,B
PPBBBP,BBBBBBPPPBBBBB,PBPPPP,11,B
PPPBBB,PPPPPBPPPPPP,BBPBPP,11,P
BBPPPP,BBBBBBBPBBBBBBBB,PBPBBB,15,B
PBBBBP,BBBBBBPPBBBBB,PBPBBB,11,B
BBPPPP,BBBBBBPBBBBB,PPBPPB,11,B
BPBBBP,BBBBBPBBBBB,PBBBPP,10,B
PPPBPB,PPPPPBBPPPPP,BPBPBP,10,P
BBPPPP,BBBBBPBBBBBBB,PBBBPB,12,B
BPBPBB,PPPPPBPPPPPP,BBPPPP,11,P
BBPBBP,BBBBBBPBBBBB,PBPBBP,11,B
PPBBPB,PPPPPPPPPPBBPPPPPPPPP,BPPBBB,19,P
PPPBBB,PPPPPBBPPPPP,BPPPBP,10,P
PPPBBB,PPPPPBBPPPPP,BPPPBP,10,P
PPBPBP,BBBBBPPBBBBB,PPBPPB,10,B
PBBBBP,BBBBBBBBPPBBBBBB,PPPBPB,14,B
BBBBPB,PPPPPBPPPPP,BPBBBB,10,P
BPBBPP,BBBBBBBBPBBBBBBB,PBPPBP,15,B
BPPPPB,PPPPPBBPPPPP,BBPBPB,10,P
PBPBPB,PPPPPPBBPPPPPPPPPP,BPBBPP,16,P
BBBBBB,PPPPPBPPPPPP,BPBBPB,11,P
PPPBPB,PPPPPBPPPPPP,BBPPPP,11,P
PPPBBB,PPPPPBPPPPP,BPBPPP,10,P
PBBBBB,PPPPPBPPPPP,BBBPPB,10,P
PBBPBP,BBBBBPPBBBBB,PPBBPB,10,B
PBPBPB,PPPPPBPPPPPP,BPBPBB,11,P
BPPPBP,BBBBBPBBBBB,PPBBPB,10,B
BBBBBB,PPPPPBBBPPPPP,BBBPBP,10,P
PPBBPB,PPPPPBPPPPP,BBBPBB,10,P
PPBBPB,PPPPPBPPPPP,BBBPBB,10,P
BBBPBP,BBBBBBPBBBBB,PPPBBP,11,B
BPPPBP,BBBBBPBBBBB,PBPPPB,10,B
BPPPBP,BBBBBPBBBBB,PBPPPB,10,B
PPPBBP,BBBBBBPBBBBB,PPPPBB,11,B
PPPBBP,BBBBBBPBBBBB,PPPPBB,11,B
BBPPPB,PPPPPBPPPPPPP,BBPBBB,12,P
BBPPPB,PPPPPBPPPPPPP,BBPBBB,12,P
BBPPBB,PPPPPBPPPPP,BBBPBB,10,P
PPPBBP,BBBBBBBPBBBBBB,PBPBPP,13,B
PPBPBB,PPPPPBPPPPP,BPPBBB,10,P
PBBPBP,BBBBBPPPBBBBBBB,PPPBBP,12,B
PPPBBP,BBBBBBPBBBBBB,PBPPBB,12,B
PBBBBB,PPPPPBPPPPPPPPP,BBBBBB,14,P
PBBPBP,BBBBBBPBBBBB,PPBPPB,11,B
BBBBBB,PPPPPPBPPPPPP,BPPPBP,12,P
BPPPBB,PPPPPBPPPPPP,BBPPPB,11,P
BBPBPB,PPPPPBBBPPPPP,BPPBBP,10,P
PPBBPP,BBBBBPBBBBB,PPBPPB,10,B
BBPPBB,PPPPPPPPBBPPPPP,BBPBPB,13,P
PBPBPB,PPPPPPPBBBPPPPP,BPBBBP,12,P
PPPBBP,BBBBBPPBBBBB,PPBBBB,10,B
PBBBPB,PPPPPBPPPPP,BPBBPB,10,P
PPBPPB,PPPPPPBBPPPPP,BBPPBB,11,P
PPBPBP,BBBBBPBBBBB,PPPPBB,10,B
BPPPPB,PPPPPPPPBBPPPPP,BBPBPB,13,P
PBBBPB,PPPPPBBPPPPPP,BPPBPP,11,P
PPBBBP,BBBBBBBPPBBBBB,PBPPBB,12,B
PPBBPB,PPPPPBPPPPP,BPBPPB,10,P
BPBPPP,BBBBBBPBBBBBB,PBBBPB,12,B
PPBPPP,BBBBBBBBBPPPBBBBB,PPBBPB,14,B
BPPPPB,PPPPPPBBPPPPPPPP,BBPPBB,14,P
BBBPBP,BBBBBPBBBBBBB,PBBBBP,12,B
BPPBBP,BBBBBPPPBBBBB,PBBPBP,10,B
BPBBPB,PPPPPBBBPPPPPP,BBBPBB,11,P
BBPPPP,BBBBBBBPBBBBB,PBBBPB,12,B
BPPPPB,PPPPPBBPPPPP,BBPPBP,10,P
PBPBBP,BBBBBPPPBBBBB,PPBPBB,10,B
PBBBPP,BBBBBPPBBBBB,PBPBPP,10,B
BPPPPP,BBBBBPBBBBB,PPBPBP,10,B
BPPPPP,BBBBBPBBBBB,PPBPBP,10,B
PBBPBP,BBBBBPPPBBBBB,PPPBBB,10,B
BBBPPB,PPPPPPBPPPPPPP,BBBBBP,13,P
PBBPPB,PPPPPBBBPPPPP,BBPPBB,10,P
BPPBPP,BBBBBPBBBBBBBB,PPPPPB,13,B
BBBBPB,PPPPPBPPPPPP,BBBPBB,11,P
PPBBBP,BBBBBBBBPBBBBB,PPBPBP,13,B
PPBPBP,BBBBBPBBBBB,PBBPBP,10,B
BPBBBB,PPPPPPBBPPPPP,BPBPPP,11,P
BPPPPP,BBBBBBBBBBPBBBBBBBBBB,PBPBPP,20,B
BBBBBB,PPPPPPBBBPPPPP,BBBBPB,11,P
BBBPBB,PPPPPBPPPPP,BPPPBB,10,P
BBPBBP,BBBBBPBBBBB,PPPBPB,10,B
PPBBPP,BBBBBBBBBBBPPBBBBB,PBBBPP,16,B
BPPPBB,PPPPPBPPPPP,BBBPPB,10,P
BPBPBP,BBBBBPBBBBB,PPPPPP,10,B
BPPBPB,PPPPPPBPPPPP,BBPPPP,11,P
PBBBBP,BBBBBPPBBBBB,PBPBBB,10,B
PPBPBP,BBBBBBPBBBBBBB,PPPBPB,13,B
BBBBPB,PPPPPPBPPPPPPP,BPPBBB,13,P
BBBBBB,PPPPPBPPPPPPP,BPBBBP,12,P
BPBBPP,BBBBBBBPPBBBBBB,PBBPPB,13,B
BPPPPP,BBBBBPBBBBB,PPPPBP,10,B
BBPBPP,BBBBBPBBBBB,PPPBBP,10,B
BBPPBP,BBBBBBPBBBBBB,PPBBPB,12,B
BBBPBP,BBBBBPPPBBBBB,PBPPBP,10,B
PBPBBB,PPPPPPBPPPPPPP,BBPPBP,13,P
PPBBBB,PPPPPBBPPPPP,BPPPPP,10,P
PPBBBB,PPPPPBBPPPPP,BPPPPP,10,P
BBBBBB,PPPPPPBBPPPPPP,BPPBBB,12,P
BBBBBB,PPPPPPBBPPPPPP,BPPBBB,12,P
BBBBPB,PPPPPPPPPPBBPPPPPP,BPBPBB,16,P
PBPPPP,BBBBBPBBBBBBBB,PPPBPP,13,B
PBBPBP,BBBBBBBPBBBBBBBBB,PPPBPB,16,B
BBPBBB,PPPPPPBPPPPPP,BBPPPB,12,P
PPPPPP,BBBBBPPPBBBBB,PPPPBP,10,B
BBBBPB,PPPPPPPBPPPPP,BBBPPP,12,P
PBPBBP,BBBBBPBBBBB,PBBPPP,10,B
BBBPPP,BBBBBPPPBBBBB,PPPPPB,10,B
PBPPBB,PPPPPBBBPPPPPPP,BPBBBP,12,P
BBPPBP,BBBBBPBBBBBBB,PPBPPP,12,B
BPPBBP,BBBBBPBBBBBB,PBPPPP,11,B
PBPPBB,PPPPPPPBBPPPPP,BPBBBP,12,P
BBPPPP,BBBBBPBBBBB,PBPBPP,10,B
BPPPBB,PPPPPBPPPPPP,BPPBBB,11,P
PBPPPP,BBBBBPBBBBB,PBBBBB,10,B
PPBBPB,PPPPPBPPPPP,BPBBPB,10,P
PBBBPP,BBBBBPPBBBBBB,PBBBBB,11,B
BBPBPB,PPPPPBPPPPP,BPBBPP,10,P
BBPBPP,BBBBBBBPBBBBB,PBPBPB,12,B
PBPBPP,BBBBBBBPBBBBBBB,PPPBPB,14,B
BBPBPB,PPPPPBPPPPPP,BBPBBB,11,P
PBBPPB,PPPPPPBBPPPPP,BPPBBB,11,P
BPBBPP,BBBBBBBPBBBBBBBB,PBBPPP,15,B
BPPBBB,PPPPPBPPPPPPP,BBBBBP,12,P
BPPBBB,PPPPPBPPPPPPP,BBBBBP,12,P
BPBBBB,PPPPPBBBPPPPP,BBPBBP,10,P
PBBPBP,BBBBBBPBBBBB,PBPBPB,11,B
PPBPPB,PPPPPBPPPPP,BPPPBB,10,P
PBPBPP,BBBBBPBBBBBB,PBPPPP,11,B
PPPBBP,BBBBBBBPPBBBBB,PPPBBP,12,B
BBPPPP,BBBBBPBBBBB,PPBPPP,10,B
BBBPPP,BBBBBPBBBBB,PPBPBB,10,B
BBBBBB,PPPPPBPPPPPP,BPPPPB,11,P
BPBBPB,PPPPPBPPPPPPP,BPBBBB,12,P
PPPPPP,BBBBBPPBBBBB,PBBPBP,10,B
PPPPPP,BBBBBPPBBBBB,PBBPBP,10,B
BPPPBB,PPPPPBBPPPPPPP,BBPBBB,12,P
BBBPPP,BBBBBPPPBBBBBB,PPPBBB,11,B
BPBBBP,BBBBBPPPBBBBB,PBBBPP,10,B
BBBPPP,BBBBBBPBBBBB,PPBPPB,11,B
PBPPPP,BBBBBPBBBBBB,PPBBBB,11,B
BBPPBB,PPPPPPPBPPPPP,BBPBPP,12,P
BBBBPB,PPPPPBPPPPP,BBPBBP,10,P
BPBPBB,PPPPPPBBBPPPPP,BPBPPB,11,P
BPPBPB,PPPPPBBPPPPP,BBPBBB,10,P
BPBBPP,BBBBBPPPBBBBBB,PPPBPB,11,B
PPBPBB,PPPPPPPBPPPPP,BPPPBB,12,P
BBBPPP,BBBBBPBBBBBBB,PBPBBB,12,B
PBPPPP,BBBBBBPBBBBBBB,PPBBPP,13,B
PBPPBP,BBBBBPBBBBB,PPBPBB,10,B
PBBBBP,BBBBBPPBBBBB,PBPBBP,10,B
PPBPPP,BBBBBPBBBBB,PBPBPP,10,B
PPBBPP,BBBBBBBPBBBBBB,PBBBPP,13,B
BPPBBP,BBBBBBPBBBBB,PBPBBP,11,B
BBPBPB,PPPPPBPPPPP,BBPBPB,10,P
BPPPPB,PPPPPPBBPPPPPPP,BBBBBP,13,P
BBBPBB,PPPPPBPPPPPPP,BBPBPP,12,P
BBPPBP,BBBBBPBBBBBB,PBPPPB,11,B
PPPPPP,BBBBBBPPBBBBB,PBPPPB,11,B
PPBPPP,BBBBBPBBBBBBB,PPBPBB,12,B
BBPPPB,PPPPPBPPPPP,BPBPPB,10,P
PBPPPB,PPPPPPBPPPPP,BPBBPP,11,P
PBPPBB,PPPPPBBPPPPPPP,BPBPBB,12,P
PBBBPP,BBBBBBPPBBBBBBB,PPPBBB,13,B
BBPBBP,BBBBBPPBBBBB,PBBBBP,10,B
BPPBPB,PPPPPPBBBPPPPPP,BBPBBB,12,P
PPPBBB,PPPPPBBPPPPPP,BBBPBB,11,P
PPPBBB,PPPPPBBPPPPPP,BBBPBB,11,P
BPPBBP,BBBBBPPPBBBBB,PPPBPB,10,B
BBPPBB,PPPPPPBBPPPPP,BPPPBB,11,P
BPBBBP,BBBBBBPBBBBBBB,PBBBBP,13,B
BPBBBB,PPPPPBPPPPPP,BPPBBP,11,P
PBPBPP,BBBBBPPBBBBB,PPBBPP,10,B
BPBBPP,BBBBBBPPBBBBB,PBBPPB,11,B
PBBPBP,BBBBBPBBBBBBB,PBBBPB,12,B
BBBPBB,PPPPPPBBPPPPP,BPBPBP,11,P
BPBPBP,BBBBBBPBBBBBBBBB,PPPBPP,15,B
BPBBBB,PPPPPBPPPPPP,BBBPBB,11,P
BPBBBB,PPPPPBPPPPPP,BBBPBB,11,P
PBBPBP,BBBBBPPPBBBBB,PPBBPP,10,B
PBBBBB,PPPPPBBPPPPP,BBBPBB,10,P
BBBPBP,BBBBBBBBPBBBBBB,PPPPPB,14,B
PBBBPP,BBBBBPPBBBBBB,PBBBPP,11,B
BPPPPP,BBBBBPPPBBBBBB,PBBBPP,11,B
PBBPPP,BBBBBBBPBBBBBBBB,PBBPPB,15,B
BBPPPB,PPPPPPPPPBPPPPP,BPBPPP,14,P
BBPPPP,BBBBBPBBBBB,PPPBPP,10,B
PBBPBB,PPPPPPBBBPPPPP,BPBBBB,11,P
PBPPBB,PPPPPBPPPPP,BPBPBB,10,P
BBPBBP,BBBBBPBBBBBBB,PBPPPB,12,B
PBPBPP,BBBBBPBBBBB,PPBPBB,10,B
PBBPPB,PPPPPPPBBPPPPP,BBPPBP,12,P
BPBPBP,BBBBBBBPBBBBBBBBBBB,PPPBBP,18,B
BPPBBP,BBBBBBPBBBBBBBBBBBBB,PBBPBP,19,B
PBPBPB,PPPPPPPBBPPPPPP,BPPBBP,13,P
PBPBPB,PPPPPPPBBPPPPPP,BPPBBP,13,P
BPPBPB,PPPPPBBPPPPP,BPPPPP,10,P
BPPBPB,PPPPPBBPPPPP,BPPPPP,10,P
BBBBPP,BBBBBPBBBBB,PPBBBB,10,B
BPBBPP,BBBBBPPBBBBBBBB,PBBBPP,13,B
BPBBPP,BBBBBPPBBBBBBBB,PBBBPP,13,B
PBBPPP,BBBBBBPBBBBBBBBBBB,PBPPBB,17,B
PBBBBP,BBBBBPBBBBB,PPBBPP,10,B
BBPBBB,PPPPPBBPPPPPP,BBPPBB,11,P
PPPBBP,BBBBBPPPBBBBBB,PPBBPB,11,B
BPPBPP,BBBBBPPBBBBBBBBBB,PPBBBB,15,B
BPPPBB,PPPPPPPBPPPPP,BPPBBP,12,P
BPPPPB,PPPPPBPPPPPP,BPPPBB,11,P
BBBBBB,PPPPPBPPPPPP,BPBPPP,11,P
BBBBBB,PPPPPBPPPPPP,BPBPPP,11,P
BBBPPP,BBBBBBBPPPBBBBBBBBB,PBBBBB,16,B
PPPBBP,BBBBBBPBBBBB,PBBPPP,11,B
PBPBPP,BBBBBPBBBBBBBB,PBBPPB,13,B
BPPPBP,BBBBBPBBBBBBBB,PBBPBB,13,B
PPBPBP,BBBBBPBBBBB,PPBBPB,10,B
PPBPPB,PPPPPPPPBPPPPP,BPBBBB,13,P
PPBPPB,PPPPPPPPBPPPPP,BPBBBB,13,P
PBBBPB,PPPPPBPPPPPPP,BBPPBP,12,P
PBPBPP,BBBBBBPPBBBBB,PPPPPP,11,B
PBBPBP,BBBBBBPBBBBBBBB,PBBPBB,14,B
BPPBBB,PPPPPBBPPPPPPP,BPBPBP,12,P
BPPPPP,BBBBBBPPBBBBB,PBBBPP,11,B
PBBBBP,BBBBBBPBBBBB,PBPPPP,11,B
BPPPBB,PPPPPBBPPPPPP,BPBPPB,11,P
BPPPBB,PPPPPBBPPPPPP,BPBPPB,11,P
PBBBBP,BBBBBBBPPBBBBBBB,PBPPPB,14,B
PBBBBP,BBBBBBBPPBBBBBBB,PBPPPB,14,B
PBBPBB,PPPPPPPPBPPPPP,BBPBBB,13,P
PBBBPP,BBBBBPBBBBBB,PBBBBP,11,B
PPBPBB,PPPPPPPBPPPPPPP,BPBPBP,14,P
BPPBPP,BBBBBPBBBBB,PPBPBP,10,B
BPPBPP,BBBBBPBBBBB,PPBPBP,10,B
BPPPBP,BBBBBBBPPBBBBB,PBPBBP,12,B
PBPPBP,BBBBBBPBBBBB,PBBPBP,11,B
PBPPPP,BBBBBBPBBBBB,PBBBPP,11,B
PBPBPB,PPPPPPBBPPPPPP,BBPBBB,12,P
PPPBBP,BBBBBBBPBBBBB,PBBBBB,12,B
PPPBBP,BBBBBBBPBBBBB,PBBBBB,12,B
BPPBPB,PPPPPBBBPPPPPPP,BBBPPP,12,P
PBPBBB,PPPPPBPPPPP,BBBPBB,10,P
PBPBBB,PPPPPBPPPPP,BBBPBB,10,P
BBPBPP,BBBBBBBPBBBBBBB,PBPBPP,14,B
PBBPPB,PPPPPPPBPPPPPPP,BBBBBB,14,P
BPPBBB,PPPPPPBBBPPPPP,BBBPBB,11,P
PPPBPB,PPPPPPPPBPPPPPP,BBPPPB,14,P
PPPBPB,PPPPPBPPPPP,BBBPPP,10,P
BPPBBP,BBBBBPBBBBB,PPBBPP,10,B
BPPBBP,BBBBBPBBBBB,PPBBPP,10,B
PPBPBP,BBBBBBPPBBBBBBB,PBBPBB,13,B
BPPPBB,PPPPPBPPPPP,BPBBPB,10,P
PPPBBB,PPPPPBBPPPPP,BPBPPP,10,P
PPPBBB,PPPPPBBPPPPP,BPBPPP,10,P
PPPBBB,PPPPPBBPPPPP,BPBPPP,10,P
BBPPPP,BBBBBPPBBBBB,PPPBBB,10,B
PPPBBP,BBBBBPBBBBBB,PPBPPB,11,B
PBBBBB,PPPPPBBPPPPP,BPPBBP,10,P
BBPPBB,PPPPPPBPPPPPP,BPBBBB,12,P
BPBBPP,BBBBBBBBPPBBBBBBBB,PBPBPB,16,B
BPBPBP,BBBBBBBPPBBBBBBBBB,PBPPPP,16,B
PPBPBB,PPPPPPPBBPPPPP,BBPBPB,12,P
BPBPBB,PPPPPBPPPPPPP,BBBBBP,12,P
BPBPBB,PPPPPBPPPPPPP,BBBBBP,12,P
BBBPBB,PPPPPBBPPPPPP,BPBBBB,11,P
BPBBPP,BBBBBBPPPBBBBB,PPBPPP,11,B
BPBPBB,PPPPPPPBPPPPPPP,BBPPBP,14,P
BPBPBB,PPPPPPPBPPPPPPP,BBPPBP,14,P
PPPPPP,BBBBBPBBBBBBBB,PPPBBP,13,B
PPBBBB,PPPPPBPPPPPPP,BPPPPP,12,P
PPBPPB,PPPPPPPBBPPPPP,BPPPBB,12,P
PPPBBP,BBBBBPPBBBBBBBB,PPBPBB,13,B
BPPBBP,BBBBBBBBPBBBBBB,PBPBPB,14,B
BPPBBP,BBBBBBBBPBBBBBB,PBPBPB,14,B
BPPBPB,PPPPPBBBPPPPP,BBPPPP,10,P
PBPPBP,BBBBBPBBBBBB,PPBPPB,11,B
PPBPBP,BBBBBBBBPPPBBBBB,PPBBPB,13,B
