before,dragon_rider,after,length,color
PPPPBB,PPPPPBBBPPPPPPP,BPBBBP,12,P
PPBBBP,BBBBBPPBBBBBB,PPBPPP,11,B
PBPBBB,PPPPPPPBPPPPPPP,BBPPPB,14,P
PPBPBP,BBBBBBBBBBBPBBBBBB,PPPBPP,17,B
PBPBBB,PPPPPBBBPPPPP,BPPPPB,10,P
BPBPPP,BBBBBBPBBBBBBBBBB,PBPBPB,16,B
BBPBPB,PPPPPBPPPPPP,BBBPBB,11,P
PPPBBB,PPPPPBPPPPP,BBBPBP,10,P
BPBBPB,PPPPPBBBPPPPP,BPPPPB,10,P
BBPBPB,PPPPPPBPPPPP,BPBBBB,11,P
PBPPPB,PPPPPBBBPPPPPP,BBBBPP,11,P
PBPPPP,BBBBBPBBBBBB,PPBBBP,11,B
BBPBBB,PPPPPPPPBPPPPP,BBPBBP,13,P
PBPPBP,BBBBBBPBBBBB,PPBPBP,11,B
BBPBPB,PPPPPPPBBBPPPPP,BBPPBB,12,P
BPPBBB,PPPPPBBPPPPPP,BBBBBB,11,P
PBPPBP,BBBBBBPBBBBBB,PPBBBB,12,B
PBPBBP,BBBBBPBBBBB,PBPPBB,10,B
PBBBBP,BBBBBBPBBBBBBB,PBBPBP,13,B
PPPPPP,BBBBBPPBBBBB,PBBBPB,10,B
BBBBBB,PPPPPBBBPPPPP,BBBPBB,10,P
BBBPBB,PPPPPBPPPPP,BBPBBB,10,P
BBBBBB,PPPPPPBPPPPPP,BPBPPB,12,P
BPBPBB,PPPPPPPPPPPPPBBPPPPPP,BBBPBP,19,P
PPPPBP,BBBBBPPPBBBBB,PBBPBP,10,B
BBPPPB,PPPPPPPBPPPPPPP,BPBPBP,14,P
PPBBPB,PPPPPPBBBPPPPPP,BPBBBP,12,P
PBBPPP,BBBBBBPBBBBB,PPPBPP,11,B
BPPPBP,BBBBBBPPBBBBBBB,PPPPPB,13,B
BPBPPP,BBBBBPBBBBBBBB,PPPBPB,13,B
PBBPPB,PPPPPBPPPPPP,BPPBPB,11,P
BPPPBP,BBBBBPBBBBBB,PPPPPB,11,B
PBPBPP,BBBBBBPPBBBBB,PPBPPB,11,B
PPBPPB,PPPPPPPPPBBPPPPP,BBBBBB,14,P
PBBBPP,BBBBBBPBBBBB,PBBPPP,11,B
PPBBBP,BBBBBBBPBBBBBB,PPBBBP,13,B
BBPBBB,PPPPPPPPBPPPPP,BPBBBB,13,P
PPPPBP,BBBBBPBBBBB,PPPBPP,10,B
PPBPBB,PPPPPPPBBBPPPPPP,BPBBBP,13,P
PPPPBP,BBBBBBBPBBBBBBBBBB,PPPPBP,17,B
BPBPPB,PPPPPBPPPPPPPP,BPPBBB,13,P
BPPBBB,PPPPPBBPPPPPPP,BPPBBP,12,P
BPPBPP,BBBBBBPBBBBBB,PBBPBP,12,B
BBBPPB,PPPPPBPPPPPPPP,BBPBPP,13,P
BPPBBP,BBBBBBPPBBBBB,PBPPBB,11,B
BPPPBP,BBBBBBBPPPBBBBBB,PPPPBB,13,B
BBPPBB,PPPPPPBPPPPPPPP,BBBPBB,14,P
PPBBPP,BBBBBPPBBBBB,PBBPBP,10,B
PBPPPP,BBBBBBBPPPBBBBBB,PBPPPB,13,B
PPBPBB,PPPPPBBPPPPP,BBPPBB,10,P
BBPPPB,PPPPPBPPPPPP,BBBPBB,11,P
PPPPBP,BBBBBBBBPPBBBBB,PPBPBP,13,B
PBBBPB,PPPPPBBBPPPPPP,BBBBBP,11,P
PPPBBB,PPPPPPBPPPPPP,BBPPPP,12,P
PPBBBP,BBBBBBPBBBBBB,PPBBPB,12,B
PBBBPP,BBBBBBBBBPBBBBB,PBPPBB,14,B
BPPPBB,PPPPPPPPBBPPPPP,BBBBBP,13,P
BPPBBP,BBBBBPPPBBBBB,PBBPPP,10,B
PBBPBP,BBBBBPBBBBB,PPBPBP,10,B
PPPPPP,BBBBBBPBBBBB,PPPBPP,11,B
BPPPPB,PPPPPBPPPPPPP,BPPPPB,12,P
BPBPPP,BBBBBPPPBBBBBBB,PPBPBP,12,B
BPBPPP,BBBBBPBBBBBB,PBPBBB,11,B
PBBBBP,BBBBBBBPPBBBBBB,PPPBPB,13,B
BPBBPP,BBBBBBPPBBBBBB,PPBPBB,12,B
BPBPPB,PPPPPPPBPPPPP,BBBBBB,12,P
PPBBPP,BBBBBPBBBBB,PBPPPB,10,B
PPBBBP,BBBBBBBPBBBBB,PBBPPP,12,B
PBBPPB,PPPPPPPPBPPPPP,BPBPBP,13,P
BBBPPP,BBBBBBBBPPPBBBBB,PPPPBB,13,B
BPPBPB,PPPPPBBPPPPP,BPBBBB,10,P
BPPBPB,PPPPPPBBBPPPPPPP,BBPBBP,13,P
BPPPBP,BBBBBBBPPPBBBBB,PBBPPP,12,B
PBPPBP,BBBBBBPPPBBBBBBB,PBBPBP,13,B
BPPBBP,BBBBBPBBBBBBBB,PBPBBB,13,B
BPPPBP,BBBBBBBBPPBBBBB,PBPBPB,13,B
PPPBBP,BBBBBBPBBBBB,PPPPPP,11,B
PPBBBB,PPPPPBBBPPPPPPPPP,BPPPBP,14,P
PBBPBP,BBBBBBPBBBBB,PBBPPB,11,B
BBPBPP,BBBBBBPBBBBB,PPPPPP,11,B
PBPPBP,BBBBBPBBBBB,PBPPPB,10,B
BPPPPP,BBBBBPPBBBBB,PBPBBP,10,B
BBBBBB,PPPPPPBBPPPPPP,BPPPBB,12,P
BPBBPP,BBBBBBPBBBBBB,PPBBPP,12,B
BPPPBP,BBBBBPPBBBBB,PBBPBP,10,B
BBPPBB,PPPPPBBPPPPP,BBBBPB,10,P
PBBPBP,BBBBBPPPBBBBBBB,PPBBPP,12,B
PPPBPP,BBBBBPBBBBBB,PPBBBP,11,B
PBBPBP,BBBBBBPBBBBBBBB,PPBPBB,14,B
BBPPBB,PPPPPPPBPPPPPPPP,BBBBPP,15,P
PPBPPP,BBBBBPPPBBBBBB,PBPBBP,11,B
PPBPPB,PPPPPBPPPPP,BBPPBB,10,P
BPBBPB,PPPPPBBPPPPP,BPBBBB,10,P
PPBBPB,PPPPPBBBPPPPP,BBBBBB,10,P
BPBBPB,PPPPPBBPPPPPP,BPPBBB,11,P
PPBPPB,PPPPPBBPPPPP,BPBBBB,10,P
BBPBPB,PPPPPPBBPPPPPP,BPBPBP,12,P
PPBBPB,PPPPPPPPPPPPBPPPPPP,BBBBPP,18,P
BBPPBP,BBBBBBPBBBBBBBBBB,PBBPPP,16,B
BBBBPB,PPPPPBBPPPPPP,BBPBPB,11,P
