before,chainok_12,after,pattern
BBBPBP,BPPB,PPPBPB,1-2-1
PBPPPB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BPPBPB,1-2-1
PBPBBP,BPPB,PBPPPB,1-2-1
PBBBBP,BPPB,PBBBPB,1-2-1
PPPPBP,BPPB,PBPBPB,1-2-1
PBBBBB,PBBP,BBBPBP,1-2-1
PPPBBB,PBBP,BPPBPP,1-2-1
BBPBBP,BPPB,PPBBBB,1-2-1
BBPBPB,PBBP,BBBBPP,1-2-1
BPPBBP,BPPB,PPPBPB,1-2-1
PBBBPB,PBBP,BPBBBB,1-2-1
PPBPBP,BPPB,PBBBBP,1-2-1
PPPBBP,BPPB,PPPBBB,1-2-1
PPBBBP,BPPB,PBBBPP,1-2-1
PBBBBP,BPPB,PPBPPP,1-2-1
BPPPPP,BBPBB,PPPPPP,2-1-2
BPPBBP,BPPB,PPBPBB,1-2-1
PBBBPB,PBBP,BBPPPP,1-2-1
PPPPPB,PBBP,BPPBPB,1-2-1
PBPBBP,BPPB,PBPBPP,1-2-1
PBBPPP,BPPB,PPPBPB,1-2-1
BBBBPP,BBPBB,PBPPBB,2-1-2
BPPPBP,BPPB,PPBPBB,1-2-1
PPBBBP,BPPB,PPPBBB,1-2-1
PBBBBB,PBBP,BBBBPP,1-2-1
PBBPBP,BPPB,PBBBBP,1-2-1
BPBBPP,BBPBB,PBBBPP,2-1-2
PPPBBB,PBBP,BBPBPP,1-2-1
BPPPPP,BPPB,PBPPPB,1-2-1
BBPPBP,BPPB,PBPBBP,1-2-1
PBPPPP,BPPB,PPBBPP,1-2-1
BPPBBP,BPPB,PPBPPP,1-2-1
PBPBBB,PBBP,BPBPPB,1-2-1
BBBBBP,BPPB,PBPPPP,1-2-1
PPPPPB,PBBP,BBBPBB,1-2-1
PPPBBB,PBBP,BBPBPB,1-2-1
PPBBBB,PBBP,BBBBBB,1-2-1
PPBPBB,PPBPP,BBBPBB,2-1-2
BBPPPP,BPPB,PPPBBP,1-2-1
PBBPPB,PBBP,BPBBPP,1-2-1
BBBPPB,PBBP,BPBPPP,1-2-1
PPPBPP,BBPBB,PPBBBB,2-1-2
PBBBBB,PBBP,BBBPPP,1-2-1
BBPBBB,PPBPP,BPPPBB,2-1-2
PPPBPB,PBBP,BBBBBB,1-2-1
PBBBBP,BPPB,PBBPPB,1-2-1
PPBPBB,PPBPP,BBPBBB,2-1-2
BPPBPB,PBBP,BBPBPP,1-2-1
PPPPPP,BPPB,PPBBBP,1-2-1
PPPPPP,BBPBB,PPBBPP,2-1-2
BBPPBB,PPBPP,BPPPBB,2-1-2
BPPBBB,PPBPP,BPBBPP,2-1-2
BPPBBP,BPPB,PPBBBB,1-2-1
BBBBPB,PBBP,BBPBBB,1-2-1
PPBBPP,BBPBB,PBBBBB,2-1-2
PPPBBB,PPBPP,BPBBPB,2-1-2
PPBPPB,PBBP,BPPBPB,1-2-1
PBPBBP,BPPB,PBBBPP,1-2-1
PPBBBB,PBBP,BPPBPB,1-2-1
BBPBBP,BPPB,PBBBBP,1-2-1
PBBBPB,PBBP,BPBBPP,1-2-1
BBBBPB,PBBP,BPBBBP,1-2-1
PBPBBB,PPBPP,BPBPBP,2-1-2
PPBPBP,BPPB,PBBBPP,1-2-1
BBBPPB,PBBP,BBPBBB,1-2-1
BBBBPP,BBPBB,PBBPPB,2-1-2
PBBPPB,PBBP,BBBPBP,1-2-1
PPBPPB,PBBP,BBPBBP,1-2-1
PBPBBP,BBPBB,PPBPPP,2-1-2
BBPBBB,PBBP,BBBBPP,1-2-1
PBBBBB,PBBP,BPPPBB,1-2-1
PPPPPB,PBBP,BBPBBP,1-2-1
PBPBBP,BBPBB,PBPBBP,2-1-2
PPPPBB,PPBPP,BBBPPB,2-1-2
BPPBBB,PPBPP,BBPBPP,2-1-2
BPPBBP,BPPB,PPBBPB,1-2-1
BPPBBP,BPPB,PPPPBP,1-2-1
PBPPPP,BPPB,PPPPPP,1-2-1
BBBPPP,BPPB,PPBPPB,1-2-1
PPBPPB,PPBPP,BBBPBB,2-1-2
BPPBBB,PBBP,BPPPPP,1-2-1
PBPBBB,PBBP,BBPPBB,1-2-1
BBPBPB,PBBP,BPBPPB,1-2-1
PBBPBP,BPPB,PBPBPP,1-2-1
PBBPBP,BPPB,PBBPBP,1-2-1
BPBPPB,PBBP,BPBPBP,1-2-1
PPPBBB,PPBPP,BPPPPP,2-1-2
BBBBBB,PPBPP,BBBBPB,2-1-2
BPPPPB,PBBP,BBPPBB,1-2-1
BBPPPB,PBBP,BBBPPP,1-2-1
PPPBPB,PBBP,BBBBBB,1-2-1
BBBBBB,PPBPP,BBPPPB,2-1-2
BPPBPB,PBBP,BPPPPP,1-2-1
PBBBBB,PBBP,BPBBBB,1-2-1
BPPBBB,PBBP,BBPPBP,1-2-1
PBBPPB,PBBP,BBBPPB,1-2-1
PPPBBB,PBBP,BBBBPP,1-2-1
BPBPPP,BPPB,PBBPPP,1-2-1
BPBBBP,BPPB,PBPBPB,1-2-1
BPBPBP,BPPB,PPBPPB,1-2-1
BPBPPB,PPBPP,BPPBPP,2-1-2
BPPBPP,BPPB,PPPPBB,1-2-1
PBBBPB,PBBP,BPPPBB,1-2-1
PBBBPP,BBPBB,PPBPBB,2-1-2
BPPBBB,PPBPP,BPBBBB,2-1-2
BPBBBB,PBBP,BBPPBP,1-2-1
PPPBPB,PBBP,BBBPBP,1-2-1
PPPPBP,BPPB,PBPPBP,1-2-1
PBPPBP,BPPB,PPBBBB,1-2-1
BBPBBB,PBBP,BPBBPP,1-2-1
BPPPBP,BPPB,PBPPBB,1-2-1
PPPBPB,PBBP,BBBBBB,1-2-1
BPPPBB,PPBPP,BBBPBP,2-1-2
PBPBBB,PBBP,BBPPPP,1-2-1
PPBBBB,PBBP,BBPPPB,1-2-1
BBPPPP,BPPB,PPPPPB,1-2-1
BBPPPP,BPPB,PBPPBB,1-2-1
PPPPPP,BPPB,PPPBPB,1-2-1
PPBBBB,PPBPP,BPPPBB,2-1-2
PBBBPP,BBPBB,PPPBBB,2-1-2
BBPBPP,BBPBB,PBBPPP,2-1-2
BBBBPP,BBPBB,PPBBBB,2-1-2
BPPBBB,PBBP,BPBBBB,1-2-1
PBPPBB,PPBPP,BBBBPB,2-1-2
PPBBBB,PBBP,BPPPPP,1-2-1
PPPPBP,BPPB,PPPPBP,1-2-1
PBBPPP,BBPBB,PPBBBP,2-1-2
BBPPPB,PBBP,BPBPBB,1-2-1
BPBBPP,BBPBB,PPPBPB,2-1-2
PPBPPB,PBBP,BPPPBP,1-2-1
PPPPPP,BPPB,PPPPBP,1-2-1
PBBBPB,PBBP,BBPBPB,1-2-1
BBPBPB,PBBP,BPBPBP,1-2-1
BBBBBB,PBBP,BPPPBP,1-2-1
BPPBPP,BPPB,PPBPBP,1-2-1
BPBPPB,PBBP,BBPBBP,1-2-1
PBPBBP,BBPBB,PPPPPB,2-1-2
PBBBBB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BBPPBB,1-2-1
PPPBBB,PPBPP,BPBBBP,2-1-2
BPPBBP,BPPB,PBPBBB,1-2-1
PPPBBP,BPPB,PBPPPB,1-2-1
PPBPPP,BBPBB,PBBPPP,2-1-2
BPPBBP,BPPB,PBBPBB,1-2-1
BPBPPB,PBBP,BBBPBP,1-2-1
PBPPBP,BPPB,PPBPBB,1-2-1
PPBPPB,PBBP,BBBBBP,1-2-1
PBBBBB,PBBP,BBBBBP,1-2-1
BBBBPB,PBBP,BPBBBP,1-2-1
PPBPBB,PPBPP,BBBPBB,2-1-2
BBBBPP,BBPBB,PBPBPB,2-1-2
PBPPBB,PPBPP,BBBPBB,2-1-2
PBBBBP,BPPB,PPBPPB,1-2-1
BPBPPB,PPBPP,BPBBPP,2-1-2
PPBPPP,BPPB,PPPPBB,1-2-1
PBPPBP,BPPB,PBBBPP,1-2-1
BBPPBP,BPPB,PBBPBB,1-2-1
BPBPPB,PBBP,BBPPBP,1-2-1
PPBPBP,BPPB,PBPPPB,1-2-1
BPBBBB,PBBP,BBPPPB,1-2-1
BBPPPB,PBBP,BBPPBB,1-2-1
BBBBBB,PPBPP,BBBBPB,2-1-2
PPBPBP,BPPB,PPBPBP,1-2-1
PPPBPB,PBBP,BPBBBB,1-2-1
BBBPPB,PBBP,BPPPPP,1-2-1
PPPPPP,BPPB,PBPBBP,1-2-1
BPPBPB,PBBP,BBPBBB,1-2-1
BPPPPP,BPPB,PPPPPP,1-2-1
BPBBBP,BPPB,PPPPPP,1-2-1
PPBPPP,BBPBB,PBBBPB,2-1-2
BPPPPP,BPPB,PPBBPP,1-2-1
PBBPPB,PBBP,BBBPPB,1-2-1
PBBPBP,BPPB,PPPBPB,1-2-1
BPPPBP,BPPB,PBBBPP,1-2-1
BBBBPB,PBBP,BBPPPP,1-2-1
BPBBBP,BPPB,PBPBPP,1-2-1
BPBPBB,PPBPP,BPPPBP,2-1-2
PPBPPP,BPPB,PBBBPP,1-2-1
BPPPBP,BPPB,PBBBPP,1-2-1
BBPBBB,PPBPP,BBPBPP,2-1-2
PBBBPB,PBBP,BPPPPB,1-2-1
BBPPBP,BPPB,PPPPBB,1-2-1
PBPBBB,PBBP,BPPBBP,1-2-1
PBBBPB,PBBP,BPBPBP,1-2-1
PBBBBB,PPBPP,BBPBBP,2-1-2
BPPBPP,BBPBB,PBBBBB,2-1-2
BBPBBB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BBPPBB,1-2-1
PPPBBB,PBBP,BBBBBB,1-2-1
PBBBPB,PBBP,BBBBPB,1-2-1
BPBBBB,PBBP,BPPPBB,1-2-1
BPBPPP,BPPB,PPBBBB,1-2-1
BPPBBB,PBBP,BBBBBB,1-2-1
PPBPBP,BPPB,PBPBBB,1-2-1
BBPPPP,BBPBB,PBPBPP,2-1-2
PBPBBB,PPBPP,BBPBPB,2-1-2
BBPBPP,BBPBB,PPBBBB,2-1-2
PPPPPP,BPPB,PPPPPB,1-2-1
BPBPPB,PPBPP,BBPBBB,2-1-2
PBPPPB,PBBP,BPPBPB,1-2-1
PBPBBP,BPPB,PBBBBP,1-2-1
BPBBBB,PPBPP,BPBBBP,2-1-2
BPBPPP,BPPB,PPPBBP,1-2-1
PBBBBP,BPPB,PPBBPB,1-2-1
PBPBBB,PBBP,BBBBPB,1-2-1
BPBBBB,PBBP,BPPPBB,1-2-1
PBPPPB,PBBP,BBBPPP,1-2-1
BPPPBP,BPPB,PBPBBB,1-2-1
PBBPPB,PBBP,BBBPPB,1-2-1
PPBBBP,BPPB,PPBPPP,1-2-1
PBBPPP,BPPB,PPPPBP,1-2-1
BBBBBB,PBBP,BPPPPB,1-2-1
PBPBBP,BBPBB,PPPPBP,2-1-2
PPPBPP,BBPBB,PBPBPP,2-1-2
PBPPPP,BPPB,PPPBPB,1-2-1
PBPPPB,PBBP,BBBBBP,1-2-1
BPPPBP,BPPB,PBPPPP,1-2-1
PPPBPB,PBBP,BPBBBB,1-2-1
BBPPPP,BPPB,PPBBPP,1-2-1
PBPPPP,BPPB,PPPPPP,1-2-1
PPPPPP,BPPB,PPBPPB,1-2-1
PPBPPB,PPBPP,BPBPPP,2-1-2
BBBBPP,BBPBB,PPPPBB,2-1-2
BPBBBB,PPBPP,BBBPBP,2-1-2
BPBPPP,BPPB,PPPPPB,1-2-1
BBPPPP,BPPB,PPBBBP,1-2-1
BPPBBB,PBBP,BBPBBB,1-2-1
BBBPPB,PBBP,BBPPBB,1-2-1
BPBPPP,BPPB,PPPPPP,1-2-1
BPPPBB,PPBPP,BBBPBB,2-1-2
PBBPPP,BPPB,PBPBPB,1-2-1
BBBBBP,BPPB,PPBPBB,1-2-1
BBBPPB,PBBP,BBPBPP,1-2-1
BPBPPB,PPBPP,BBBBBB,2-1-2
BPPPBB,PPBPP,BBPPBB,2-1-2
BBPPPB,PBBP,BPBBBP,1-2-1
PPPBBB,PBBP,BBBBBP,1-2-1
PPPPPB,PBBP,BBBPBP,1-2-1
BPBBBP,BPPB,PPBPBP,1-2-1
BPBPPP,BBPBB,PPBBPP,2-1-2
BPPPPP,BBPBB,PPPPPP,2-1-2
PBPPPP,BPPB,PBPPBP,1-2-1
PBPPBP,BPPB,PBPPPB,1-2-1
PPBPPP,BPPB,PPBPBB,1-2-1
PPPPBP,BPPB,PPPPBB,1-2-1
PPBBBB,PBBP,BBPBBB,1-2-1
PPBBBP,BPPB,PBBBPB,1-2-1
PBPBBB,PBBP,BPBPPB,1-2-1
BBPPPP,BPPB,PBPPPB,1-2-1
BPPBBB,PPBPP,BBBPBB,2-1-2
BPBBBP,BPPB,PPPBBB,1-2-1
PPBBBB,PPBPP,BBPPPP,2-1-2
PBPBPB,PBBP,BBBBPP,1-2-1
BPBPPB,PBBP,BPPPBB,1-2-1
PPPBPB,PBBP,BBBPBP,1-2-1
PBBPPB,PBBP,BBPPBB,1-2-1
BBBPBP,BPPB,PPPPBP,1-2-1
PPBBPB,PBBP,BBBBBP,1-2-1
BPPBPB,PBBP,BBBBBB,1-2-1
PPPPPB,PBBP,BPBPPB,1-2-1
PBBPBP,BPPB,PBPPBB,1-2-1
PBPBPB,PBBP,BPBPBP,1-2-1
PBPBPB,PBBP,BBBPBP,1-2-1
BPPBPB,PBBP,BPPPBB,1-2-1
BPBPPP,BBPBB,PPPPBB,2-1-2
PBBBPP,BBPBB,PBBPBB,2-1-2
PBBPBB,PBBP,BBBBPB,1-2-1
BBBPPP,BPPB,PPBBBB,1-2-1
BPPPPP,BPPB,PBPPBB,1-2-1
BPPPBB,PPBPP,BPBPPB,2-1-2
BPPPBP,BPPB,PBPPBP,1-2-1
PBPPBP,BPPB,PPBPBB,1-2-1
PPBPPB,PBBP,BBPBBB,1-2-1
BPBBBP,BPPB,PPPBBP,1-2-1
PPPBBB,PBBP,BBBBBB,1-2-1
BBBBBP,BPPB,PPBPPP,1-2-1
BPBBBB,PBBP,BPBBPP,1-2-1
PPBPPP,BPPB,PBBPPB,1-2-1
PPBPBP,BPPB,PPPPPB,1-2-1
PPPPBP,BPPB,PBPPBB,1-2-1
PPBBPB,PBBP,BPPPPP,1-2-1
BPPPPP,BPPB,PBPBBP,1-2-1
PBBPPP,BPPB,PPBBPP,1-2-1
PPPPPB,PBBP,BPPPBB,1-2-1
BPPBPB,PBBP,BPBBBB,1-2-1
PBPBBB,PBBP,BPBBPP,1-2-1
PBBPPB,PBBP,BPPPPP,1-2-1
PPBBPP,BBPBB,PPPBPB,2-1-2
PBPPPB,PBBP,BPPBBB,1-2-1
BBBBPB,PBBP,BPBBBB,1-2-1
PBBPPP,BPPB,PPPBPP,1-2-1
BBBBBP,BPPB,PPPBPP,1-2-1
PBBBBB,PBBP,BPPPBB,1-2-1
BBBPBB,PPBPP,BBPBBB,2-1-2
BPBPPP,BBPBB,PBBPPB,2-1-2
BBPPPP,BPPB,PBPBPB,1-2-1
BBBPPB,PBBP,BPPPBB,1-2-1
PBPBBB,PBBP,BBPPBB,1-2-1
BPPPPP,BBPBB,PPPPBB,2-1-2
BPPBBB,PBBP,BBPBPB,1-2-1
PBBPBP,BPPB,PPBPBP,1-2-1
PPPBPB,PBBP,BBPPPP,1-2-1
BPBBBB,PPBPP,BBBPBB,2-1-2
BBPBBB,PBBP,BPBPBB,1-2-1
BPPPPB,PBBP,BPPBBB,1-2-1
PBBBPP,BBPBB,PPBPPB,2-1-2
PBBPBB,PPBPP,BBPPBB,2-1-2
BPPPPB,PBBP,BBPBPB,1-2-1
PBBPBB,PPBPP,BBBPPB,2-1-2
BPBPPP,BPPB,PBBPPB,1-2-1
PPBPBB,PPBPP,BPPPPP,2-1-2
PPPBBP,BPPB,PBBBPP,1-2-1
BBBBBP,BPPB,PBPPPP,1-2-1
BBPBBP,BPPB,PPBBPP,1-2-1
PBBBPP,BBPBB,PBBBBB,2-1-2
BBPBBB,PBBP,BPPBPP,1-2-1
BBPBBP,BPPB,PPPPBP,1-2-1
PPBBBB,PBBP,BPBBBB,1-2-1
PBPPPB,PBBP,BBPPPB,1-2-1
BPBPPP,BPPB,PBBPPB,1-2-1
BBBPBP,BPPB,PBBPPP,1-2-1
BPPPPB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BPPBBP,1-2-1
PBPPPP,BPPB,PPBBBP,1-2-1
BPBPBP,BPPB,PBPBBB,1-2-1
PBPPPP,BPPB,PPBBBP,1-2-1
BBBBBP,BPPB,PPBPPB,1-2-1
BPBPPB,PPBPP,BPPBPP,2-1-2
BPPBPP,BPPB,PPBPPP,1-2-1
BPBBBP,BPPB,PPBPBB,1-2-1
PPBPPB,PBBP,BPPPBB,1-2-1
BBBPBB,PPBPP,BPBPBP,2-1-2
BPPBBB,PPBPP,BBPBPB,2-1-2
PPPPBB,PPBPP,BBPBBB,2-1-2
BPPBPB,PBBP,BPBBBB,1-2-1
BPPPPB,PBBP,BPBPBB,1-2-1
BBPBPP,BBPBB,PBBPPP,2-1-2
PBPBBP,BPPB,PBPBPB,1-2-1
PBBBBP,BPPB,PBPBPP,1-2-1
PPBPBP,BPPB,PPPPBP,1-2-1
BBPBPB,PBBP,BPBBBP,1-2-1
PBPBPB,PBBP,BPBBBP,1-2-1
BPPPBP,BPPB,PPPPBP,1-2-1
PBBBBP,BPPB,PPBPBP,1-2-1
PPPBPP,BBPBB,PPBPPP,2-1-2
PBPPPB,PBBP,BBPPPP,1-2-1
PBPPBB,PPBPP,BBPBBP,2-1-2
BBPPPB,PBBP,BBBPPB,1-2-1
PBPBBB,PBBP,BPBPPB,1-2-1
PBBPBP,BPPB,PBBBPP,1-2-1
PBBBBB,PBBP,BBPBPB,1-2-1
BBPBPB,PBBP,BBPBPP,1-2-1
PPPBPP,BBPBB,PBBPBP,2-1-2
PBBPBB,PBBP,BPBPPB,1-2-1
PBBPPP,BPPB,PBPPBB,1-2-1
PBPBPP,BBPBB,PPPBBP,2-1-2
BPBPBP,BPPB,PPBPBB,1-2-1
BPBBBP,BPPB,PPBBPP,1-2-1
PBBBBB,PBBP,BBBPBP,1-2-1
PPPPPP,BPPB,PPPBPB,1-2-1
BBPPBB,PPBPP,BBBPBP,2-1-2
BBPPPB,PBBP,BPBBBP,1-2-1
PPPBBP,BPPB,PPBBBB,1-2-1
PPBBBB,PPBPP,BBPBBB,2-1-2
PPBPBP,BPPB,PBBPBP,1-2-1
BBPBPB,PBBP,BPPBBB,1-2-1
BBBPPB,PBBP,BPBPPB,1-2-1
PBBPBP,BPPB,PBPBBP,1-2-1
BBBPPP,BPPB,PPPPBP,1-2-1
BPPPPB,PBBP,BPPBBB,1-2-1
PPBBPB,PBBP,BBBPPP,1-2-1
PBBBBB,PBBP,BPPBBB,1-2-1
BBBBBP,BPPB,PPPBPP,1-2-1
PPPPPP,BPPB,PPBPPP,1-2-1
PPBBBB,PBBP,BBPPBB,1-2-1
BBBPPB,PBBP,BPPPBP,1-2-1
BBPPPB,PBBP,BBBPPB,1-2-1
BPPBPB,PBBP,BPPPPP,1-2-1
PBPBBB,PPBPP,BPPPPP,2-1-2
BBBBBB,PBBP,BBBPBB,1-2-1
BBBBBB,PPBPP,BPBPPB,2-1-2
PBPPPP,BBPBB,PBPBPP,2-1-2
PPBPPP,BBPBB,PPBBBB,2-1-2
BBBPPB,PBBP,BBBBBP,1-2-1
PPPPPP,BPPB,PBBBBP,1-2-1
BBBBPP,BBPBB,PBBPBP,2-1-2
BBBBBP,BPPB,PBBPPB,1-2-1
PPPBBP,BPPB,PBPPPP,1-2-1
BPBBBB,PPBPP,BBBBPP,2-1-2
PBPPPP,BBPBB,PBPBBB,2-1-2
PPPPBB,PPBPP,BPBBBP,2-1-2
BBPBPB,PBBP,BBPPPB,1-2-1
PBPPPB,PBBP,BBBBPP,1-2-1
BPPPBB,PPBPP,BPPPPB,2-1-2
PPBPPP,BPPB,PBBBBB,1-2-1
BBPPBP,BPPB,PBPPPB,1-2-1
PBPBPB,PBBP,BBBBPP,1-2-1
BPBBBB,PPBPP,BBPPBB,2-1-2
BBBPBP,BPPB,PBPPPB,1-2-1
BBBPPB,PBBP,BPBPBB,1-2-1
BBPBBB,PPBPP,BBBPPP,2-1-2
BBPBBB,PBBP,BBPBBP,1-2-1
BBPBBP,BBPBB,PPBBPP,2-1-2
BBPPBP,BPPB,PBPPPB,1-2-1
BPPPBP,BPPB,PBPPPP,1-2-1
BPPBPB,PBBP,BBBPBP,1-2-1
BPBBBP,BPPB,PPBPPP,1-2-1
BBPPPB,PBBP,BPPPBP,1-2-1
PBBBBB,PBBP,BBPPBP,1-2-1
BPPBPB,PBBP,BPPBBB,1-2-1
BPPBBB,PBBP,BPBPBB,1-2-1
BBPBPB,PBBP,BBBBPB,1-2-1
BBPBBB,PPBPP,BBPBPP,2-1-2
BPPPPB,PBBP,BPBPBP,1-2-1
PPPBBB,PBBP,BBPPBB,1-2-1
PBPPPB,PBBP,BPBPBB,1-2-1
BBPPBB,PPBPP,BBBBPP,2-1-2
BPBBPP,BBPBB,PBBPBP,2-1-2
PBBPBB,PBBP,BPPBBP,1-2-1
BPBBBB,PPBPP,BBPBPB,2-1-2
PBPPPP,BBPBB,PPBPPB,2-1-2
PBBPBB,PPBPP,BPBBPB,2-1-2
PPBPPB,PBBP,BBPPPP,1-2-1
BPPPBP,BPPB,PBPPBP,1-2-1
PBPPBP,BPPB,PBBBBB,1-2-1
PPPPBP,BPPB,PPBBPP,1-2-1
BPBPBP,BPPB,PBPBBB,1-2-1
BBPPPB,PBBP,BPPBBB,1-2-1
PBPPPP,BBPBB,PBBPPB,2-1-2
BBPPBB,PPBPP,BPPPBP,2-1-2
PBPBBB,PBBP,BBBPBP,1-2-1
PPPPBB,PPBPP,BPPBBP,2-1-2
BPPBBP,BPPB,PBBPBP,1-2-1
BPBPPB,PBBP,BPPPBP,1-2-1
PBPBBB,PBBP,BBBBBP,1-2-1
PPBBPB,PBBP,BBPBBP,1-2-1
PBPBBP,BBPBB,PPPBBP,2-1-2
PBBPPP,BBPBB,PBPBPP,2-1-2
BBBPPP,BPPB,PBPBBB,1-2-1
BPPPPP,BPPB,PPPBBB,1-2-1
BBPBBB,PPBPP,BPPBBP,2-1-2
PBPPPP,BBPBB,PPBBPP,2-1-2
BPPBBB,PBBP,BBBBPP,1-2-1
BPBBBP,BPPB,PBPBPP,1-2-1
PBBBBB,PBBP,BBBPBB,1-2-1
BPPBBP,BPPB,PBPPPB,1-2-1
BBBBBB,PBBP,BBBBBB,1-2-1
BBBPPB,PBBP,BBPPBB,1-2-1
PBBBBP,BPPB,PBBPBB,1-2-1
BPBPPB,PBBP,BBPPBP,1-2-1
PBBPPB,PBBP,BPPBPB,1-2-1
PBPBBP,BPPB,PBBPBB,1-2-1
BPBPPB,PBBP,BBPPPB,1-2-1
BPPBBB,PBBP,BBPPPB,1-2-1
PBBPPP,BPPB,PBPBPP,1-2-1
PBPBPP,BBPBB,PPBBBP,2-1-2
PPPBBB,PBBP,BPBPBP,1-2-1
BPBBBP,BPPB,PBBPBB,1-2-1
BPBPPB,PBBP,BBBBBB,1-2-1
BBBPBB,PPBPP,BBPPPB,2-1-2
BBPPPP,BBPBB,PBBBPB,2-1-2
BPBBBP,BPPB,PBBBBB,1-2-1
BBBBBP,BPPB,PPPPBP,1-2-1
PPPBPP,BBPBB,PBPBBP,2-1-2
BBPBPB,PBBP,BPPBBB,1-2-1
BPPBBB,PBBP,BPBPBP,1-2-1
PBBPPP,BPPB,PBBBBP,1-2-1
PPBBBB,PPBPP,BBPBPP,2-1-2
BPPBBP,BPPB,PBPPBB,1-2-1
BPPPPB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BBBBPB,1-2-1
BBPPBP,BPPB,PPBPBB,1-2-1
BBPBBB,PBBP,BBPPPB,1-2-1
PBBPPP,BBPBB,PPPPPP,2-1-2
PPBBPB,PBBP,BPBPPP,1-2-1
PPBBBB,PBBP,BBBPBP,1-2-1
PPPBBB,PBBP,BBPBBB,1-2-1
PPPPPP,BPPB,PPBPBB,1-2-1
PPBPPB,PBBP,BPBBPB,1-2-1
BPBBPB,PBBP,BBPPBP,1-2-1
PPBPPP,BPPB,PBBPBP,1-2-1
PPBPPB,PBBP,BPPBBB,1-2-1
BBPPPB,PBBP,BBBBPB,1-2-1
BPBBBB,PBBP,BBBBPB,1-2-1
PBPPPP,BBPBB,PPBBBB,2-1-2
BPPBPB,PBBP,BBBBPP,1-2-1
PPBBBB,PBBP,BBPPBB,1-2-1
PBBBPB,PBBP,BPPBPB,1-2-1
PBPBBP,BPPB,PBPPBB,1-2-1
PBBBBP,BPPB,PBBPBP,1-2-1
BPBPPB,PBBP,BPPBPB,1-2-1
PBPBBP,BPPB,PBPBBP,1-2-1
BPPBPB,PBBP,BBPPPP,1-2-1
BPBPPB,PPBPP,BPBBBP,2-1-2
PBBBPB,PBBP,BPBPBB,1-2-1
PBBPBP,BPPB,PPBPBP,1-2-1
PPPPBP,BPPB,PPPPPB,1-2-1
PPPPPB,PBBP,BPBPPB,1-2-1
PBBPBP,BPPB,PBPPPP,1-2-1
PBPPBP,BPPB,PBBPBP,1-2-1
BPBPPB,PBBP,BPBPPB,1-2-1
BPPPPP,BPPB,PPBBPB,1-2-1
BPPBBB,PBBP,BPBBPP,1-2-1
BBPBPP,BBPBB,PPPBBP,2-1-2
BPBBPP,BBPBB,PBBPPB,2-1-2
PBBPBB,PPBPP,BPBBBP,2-1-2
PPBPBB,PPBPP,BPPPPB,2-1-2
BBBBPP,BBPBB,PBPPBB,2-1-2
PBBBPP,BBPBB,PPBPPP,2-1-2
BBPPBP,BPPB,PPBBBB,1-2-1
BBBPPP,BPPB,PBBBBP,1-2-1
PPPBPB,PBBP,BPPBPP,1-2-1
BBBPPP,BBPBB,PPBBPB,2-1-2
BPPBBP,BPPB,PPBBBP,1-2-1
BBBPBP,BPPB,PPPBPP,1-2-1
PPPPPP,BPPB,PPBBPB,1-2-1
BBBPPB,PBBP,BPBBPP,1-2-1
BBBPPP,BBPBB,PBPBBP,2-1-2
PPBBBB,PPBPP,BPBBBB,2-1-2
PBBPPB,PBBP,BPPPBB,1-2-1
BPBPPP,BBPBB,PBPPPB,2-1-2
BBBBBB,PPBPP,BPPPBB,2-1-2
PPBPBP,BPPB,PPPBPB,1-2-1
PPBPBP,BPPB,PBBBBB,1-2-1
BBBBPB,PBBP,BBBBBP,1-2-1
BBBBBP,BPPB,PBPPBB,1-2-1
BBPPBP,BPPB,PPPPPP,1-2-1
PPBPPP,BPPB,PPBBBB,1-2-1
PPPPBP,BPPB,PPPPBP,1-2-1
BBBBPB,PBBP,BBBBBP,1-2-1
PPPBBP,BPPB,PPBBPP,1-2-1
PBPPBB,PPBPP,BPBBBP,2-1-2
BPBBBB,PBBP,BBPPBB,1-2-1
BBPPPB,PBBP,BBBPBP,1-2-1
BPBPPP,BPPB,PPPPPP,1-2-1
BBBPBP,BPPB,PPPPPB,1-2-1
BBPPBP,BPPB,PBPPBB,1-2-1
PPBBPB,PBBP,BPPPPB,1-2-1
PPBPPP,BPPB,PPBPBP,1-2-1
PPPBBP,BPPB,PPPBBB,1-2-1
PPPBBP,BPPB,PBPPPP,1-2-1
BBBPBB,PPBPP,BBPBBP,2-1-2
BPPBPP,BBPBB,PBBPPP,2-1-2
BPPBBP,BPPB,PBBBBB,1-2-1
PPPBPB,PBBP,BBPPPB,1-2-1
BBBBBB,PBBP,BBBPPB,1-2-1
PBBBPP,BBPBB,PPPBBP,2-1-2
PBBPPB,PBBP,BBBBBP,1-2-1
BBBBBP,BPPB,PPPBBP,1-2-1
PBPBPB,PBBP,BBPPPP,1-2-1
BBPBPB,PBBP,BBPPBP,1-2-1
BBPPBP,BPPB,PPBBBB,1-2-1
PPBPBB,PPBPP,BBPBBB,2-1-2
