before,chai_khrong,after,type,length
,BPBPBPB,BBPPPP,ชายโครงแท้,7
BPBBP,PBPBPBP,PPPPPB,ชายโครงแท้,7
BPBPPB,BPBPBP,PPBBPP,ชายโครงแท้,6
BPBPPB,BPBPBP,PPBBPP,ชายโครงแท้,6
BPPPPP,PBPBPBP,PPPPBB,ชายโครงแท้,7
BBPBBB,BPBPBP,PPBBPB,ชายโครงแท้,6
PPBBPP,PBPBPBPB,BBBPPP,ชายโครงแท้,8
BBPPBP,PBPBPB,BPBPBP,ชายโครงแท้,6
PBPBPB,BPBPBPB,BBBPBB,ชายโครงแท้,7
PPPPPB,BPBPBP,PPPPPB,ชายโครงแท้,6
BPPPPP,PBPBPB,BBBPBB,ชายโครงแท้,6
PBPPBP,PBPBPB,BBBPBB,ชายโครงแท้,6
PPBPBP,PBPBPBP,PPPBPP,ชายโครงแท้,7
BBBBPB,BPBPBP,PBBBBB,ชายโครงแท้,6
PBPBBB,BPBPBP,PPBPPP,ชายโครงแท้,6
PPBPBB,BPBPBP,PPPBBP,ชายโครงแท้,6
BBPPPB,BPBPBP,PBPBBB,ชายโครงแท้,6
BPBBBP,PBPBPB,BBPPPB,ชายโครงแท้,6
BBBPPB,BPBPBP,PBPPBP,ชายโครงแท้,6
PBBBBP,PBPBPB,BPPBBP,ชายโครงแท้,6
PBBBPB,BPBPBP,PBPPPB,ชายโครงแท้,6
PBPPBP,PBPBPBPB,BPBPBP,ชายโครงแท้,8
PBPBPB,BPBPBP,PPBBBP,ชายโครงแท้,6
BPPPBP,PBPBPB,BBPBPB,ชายโครงแท้,6
BBBBBB,BPBPBPBPB,BPBBPP,ชายโครงแท้,9
PPPBPP,PBPBPBP,PPPPPP,ชายโครงแท้,7
PBBPBP,PBPBPBP,PPPBPP,ชายโครงแท้,7
PPBBPB,BPBPBP,PPPBPP,ชายโครงแท้,6
BPPPPB,BPBPBPBPBPB,BPBBPB,ชายโครงแท้,11
,PBPBPB,BPPPPB,ชายโครงแท้,6
PBBPPP,PBPBPBPB,BBPBPP,ชายโครงแท้,8
BPPBBB,BPBPBPB,BPBBPB,ชายโครงแท้,7
PPPBBP,PBPBPB,BBPPBB,ชายโครงแท้,6
BBPBBB,BPBPBPB,BBBBBB,ชายโครงแท้,7
BPPBPB,BPBPBPB,BPPBPB,ชายโครงแท้,7
PBPBBP,PBPBPB,BPPPBB,ชายโครงแท้,6
PBBBBP,PBPBPB,BBBBPP,ชายโครงแท้,6
BBBPPB,BPBPBP,PPPBBP,ชายโครงแท้,6
BPPPPP,PBPBPB,,ชายโครงแท้,6
BPB,BPBPBP,PBBPBB,ชายโครงแท้,6
PBBPPB,BPBPBP,PBBPPB,ชายโครงแท้,6
BBPPBP,PBPBPB,BPBBPP,ชายโครงแท้,6
PBBPPB,BPBPBP,PBPBBP,ชายโครงแท้,6
BPPPPB,BPBPBP,PBBBPP,ชายโครงแท้,6
PPPBPP,PBPBPB,BPBPBP,ชายโครงแท้,6
PBPBPB,BPBPBP,PPBBPP,ชายโครงแท้,6
PPPBBP,PBPBPBPBPB,BPBPBP,ชายโครงแท้,10
PBPBPB,BPBPBP,PBBPBB,ชายโครงแท้,6
PPBPBP,PBPBPB,BPPPBP,ชายโครงแท้,6
PPBPPB,BPBPBPB,BPPPPB,ชายโครงแท้,7
,PBPBPBPBPB,BBPBBP,ชายโครงแท้,10
PBPBBB,BPBPBPBPB,BPPPBB,ชายโครงแท้,9
PBBBBB,BPBPBPB,BBBBBP,ชายโครงแท้,7
,PBPBPB,BBBPPP,ชายโครงแท้,6
PBPPBB,BPBPBP,PBPBPP,ชายโครงแท้,6
PPPBBP,PBPBPB,BBBBPP,ชายโครงแท้,6
PBBBBP,PBPBPB,BPPPBP,ชายโครงแท้,6
PPB,BPBPBPB,BPPBPB,ชายโครงแท้,7
BBPBPB,BPBPBPBP,PPBBPP,ชายโครงแท้,8
BBPBPP,PBPBPB,BBPPBP,ชายโครงแท้,6
PBBBPB,BPBPBP,PPPBBB,ชายโครงแท้,6
PPPBBP,PBPBPB,BPBBBB,ชายโครงแท้,6
BP,PBPBPB,BBPBPP,ชายโครงแท้,6
BBBP,PBPBPB,BPBBBB,ชายโครงแท้,6
PBBBBB,BPBPBPB,BBBBPB,ชายโครงแท้,7
BPBBPP,PBPBPB,BPPBPB,ชายโครงแท้,6
,BPBPBP,PPBBPB,ชายโครงแท้,6
BPPBPB,BPBPBP,PPBBBB,ชายโครงแท้,6
,BPBPBP,PPBBPB,ชายโครงแท้,6
BPPBPB,BPBPBP,PPBBBB,ชายโครงแท้,6
PPBBPP,PBPBPBPB,BPPPPB,ชายโครงแท้,8
PPBPBP,PBPBPB,BPPPPP,ชายโครงแท้,6
BBBPBB,BPBPBPBPBP,PPBPPP,ชายโครงแท้,10
,PBPBPBP,PPBPBP,ชายโครงแท้,7
B,BPBPBPB,BBBBPP,ชายโครงแท้,7
PPBBBB,BPBPBPBP,PPPBPB,ชายโครงแท้,8
PBBPPP,PBPBPBP,PBBPBP,ชายโครงแท้,7
BBBBPB,BPBPBP,PBBBBB,ชายโครงแท้,6
BBBBPB,BPBPBP,PBBBBB,ชายโครงแท้,6
BPPBBP,PBPBPB,BBBPBP,ชายโครงแท้,6
BBBPBP,PBPBPB,BBBBBP,ชายโครงแท้,6
BPPBBP,PBPBPB,BBBPBP,ชายโครงแท้,6
BBBPBP,PBPBPB,BBBBBP,ชายโครงแท้,6
PPB,BPBPBP,PPPBBB,ชายโครงแท้,6
BBBPBP,PBPBPB,,ชายโครงแท้,6
PBBBPP,PBPBPBPB,BBPBBP,ชายโครงแท้,8
BBPBBP,PBPBPBP,PBBBBB,ชายโครงแท้,7
PBBPPB,BPBPBPBP,PPPBBP,ชายโครงแท้,8
BBPBBP,PBPBPB,BPPPBP,ชายโครงแท้,6
PBBPPB,BPBPBPBP,PPPBBP,ชายโครงแท้,8
BBPBBP,PBPBPB,BPPPBP,ชายโครงแท้,6
BPBPPB,BPBPBPBP,PBBBPB,ชายโครงแท้,8
PPPBBP,PBPBPBPB,BPPBPB,ชายโครงแท้,8
BBPPBP,PBPBPB,BPBB,ชายโครงแท้,6
BBPPBB,BPBPBPB,BPBBBB,ชายโครงแท้,7
BBPBBB,BPBPBP,PPBBPP,ชายโครงแท้,6
PPBPPP,PBPBPBP,PPBBPP,ชายโครงแท้,7
PPPPPP,PBPBPBP,PPBPPP,ชายโครงแท้,7
BPPBPB,BPBPBP,PPBBPB,ชายโครงแท้,6
BPBBBB,BPBPBPB,BBBBPB,ชายโครงแท้,7
PPBPPP,PBPBPB,BPPBBP,ชายโครงแท้,6
PPBBBB,BPBPBPB,BPPPBP,ชายโครงแท้,7
BBPPPP,PBPBPB,B,ชายโครงแท้,6
BBPPPP,PBPBPB,B,ชายโครงแท้,6
BPPBPP,PBPBPB,BPBBBP,ชายโครงแท้,6
BPBBBP,PBPBPBPB,BBBBBB,ชายโครงแท้,8
BBPBPB,BPBPBP,PPBPPP,ชายโครงแท้,6
P,PBPBPBP,PBBPBB,ชายโครงแท้,7
PPBBPB,BPBPBPBPB,BPPBBB,ชายโครงแท้,9
PPBBBP,PBPBPBPB,BBBBBB,ชายโครงแท้,8
BPPPPP,PBPBPB,BPPPBB,ชายโครงแท้,6
BBPBPB,BPBPBP,PBPBBP,ชายโครงแท้,6
PBPPBP,PBPBPB,BPBBBP,ชายโครงแท้,6
PPPPBP,PBPBPB,BBBBBP,ชายโครงแท้,6
BPPPBP,PBPBPB,BBBBPB,ชายโครงแท้,6
BPBPPB,BPBPBP,P,ชายโครงแท้,6
PPP,PBPBPB,BBPPPB,ชายโครงแท้,6
PPP,PBPBPB,BBPPPB,ชายโครงแท้,6
B,BPBPBP,PPPPBP,ชายโครงแท้,6
BPBBBB,BPBPBP,PBBPPB,ชายโครงแท้,6
,PBPBPBPB,BBBBPP,ชายโครงแท้,8
BBPBBP,PBPBPB,BBPPPB,ชายโครงแท้,6
P,PBPBPB,BBPBPB,ชายโครงแท้,6
PPPBPP,PBPBPB,BPPBPB,ชายโครงแท้,6
BBPPPP,PBPBPB,BBBPBP,ชายโครงแท้,6
PBPBBB,BPBPBP,PBBB,ชายโครงแท้,6
BPBBPB,BPBPBPB,BPPPPP,ชายโครงแท้,7
BBPBBB,BPBPBPB,BPPPBP,ชายโครงแท้,7
PPPPBB,BPBPBP,PPPPBP,ชายโครงแท้,6
PBP,PBPBPBP,PBPBBP,ชายโครงแท้,7
PPBPPP,PBPBPBP,PBBBPB,ชายโครงแท้,7
PPPBPB,BPBPBPB,BBPBBB,ชายโครงแท้,7
BBPBPB,BPBPBPBP,PBPBPP,ชายโครงแท้,8
BPPBPP,PBPBPB,BBBBPB,ชายโครงแท้,6
BBBPPP,PBPBPB,BPBB,ชายโครงแท้,6
B,BPBPBPB,BBBBBP,ชายโครงแท้,7
,BPBPBP,PPPPPB,ชายโครงแท้,6
BBPBPB,BPBPBPBP,,ชายโครงแท้,8
BBP,PBPBPB,BPPBBB,ชายโครงแท้,6
,PBPBPB,BPBPPP,ชายโครงแท้,6
PBBBPB,BPBPBP,PPBBPB,ชายโครงแท้,6
PPBBBP,PBPBPBPB,BPBPBP,ชายโครงแท้,8
PBPBPB,BPBPBPB,BPBPPP,ชายโครงแท้,7
BPBBPP,PBPBPBPBPBPBP,PPBPPP,ชายโครงแท้,13
PPPBPP,PBPBPBP,PPPPPB,ชายโครงแท้,7
BBPBPB,BPBPBP,PPBPBB,ชายโครงแท้,6
PPPBPB,BPBPBP,PPPPPP,ชายโครงแท้,6
PPBBBP,PBPBPBPB,BBPPBB,ชายโครงแท้,8
PPBBPB,BPBPBPBP,PPPPP,ชายโครงแท้,8
PPBBPB,BPBPBPBP,PPPPP,ชายโครงแท้,8
BPBBPP,PBPBPB,BPBPPB,ชายโครงแท้,6
BBBPPP,PBPBPBP,PPBBBP,ชายโครงแท้,7
BBPBBP,PBPBPB,BPPPPB,ชายโครงแท้,6
BPPBP,PBPBPBP,PBPPBB,ชายโครงแท้,7
BPPPPB,BPBPBPB,BBBBPP,ชายโครงแท้,7
PBBPPB,BPBPBPB,BBBPPP,ชายโครงแท้,7
PBBPPB,BPBPBPB,BBBPPP,ชายโครงแท้,7
BBPBPB,BPBPBPB,BPBPPP,ชายโครงแท้,7
PBPBBB,BPBPBPBPBPBPBPBPB,BPPPBP,ชายโครงแท้,17
PBPPBP,PBPBPBPB,BBBPBB,ชายโครงแท้,8
BPPPBB,BPBPBP,PPBPBB,ชายโครงแท้,6
,PBPBPB,BPPPBB,ชายโครงแท้,6
BBBPBB,BPBPBP,PBBPPP,ชายโครงแท้,6
PBPPPB,BPBPBPB,BBPPPP,ชายโครงแท้,7
B,BPBPBP,PBBBBP,ชายโครงแท้,6
PPBPBB,BPBPBPBPBPBPBP,PBPBBB,ชายโครงแท้,14
PPPBBP,PBPBPB,BBBPBP,ชายโครงแท้,6
PBPBBB,BPBPBPBP,PBBPBP,ชายโครงแท้,8
BPBPPB,BPBPBPBPBP,PBBBBP,ชายโครงแท้,10
PPPBBP,PBPBPB,BBBPBP,ชายโครงแท้,6
PBPBBB,BPBPBPBP,PBBPBP,ชายโครงแท้,8
BPBPPB,BPBPBPBPBP,PBBBBP,ชายโครงแท้,10
PPB,BPBPBPBP,PPPBPP,ชายโครงแท้,8
PBBPBP,PBPBPBP,PBPPBP,ชายโครงแท้,7
P,PBPBPB,BPBBPB,ชายโครงแท้,6
PPPPPB,BPBPBP,PPPBBP,ชายโครงแท้,6
BBPBBB,BPBPBP,PBPPPP,ชายโครงแท้,6
PPBPBB,BPBPBPBP,PBPBPB,ชายโครงแท้,8
BPBPBP,PBPBPB,,ชายโครงแท้,6
,BPBPBP,PPBPBP,ชายโครงแท้,6
BB,BPBPBP,PBBBBP,ชายโครงแท้,6
BPBBBB,BPBPBP,PBBBPB,ชายโครงแท้,6
PPPPPB,BPBPBPBPBP,PPPBPB,ชายโครงแท้,10
PBBPPB,BPBPBP,PPB,ชายโครงแท้,6
PPPPBB,BPBPBPBPB,BBBPB,ชายโครงแท้,9
BBBPPB,BPBPBPB,BPPPPB,ชายโครงแท้,7
PPBBBP,PBPBPBP,PPBBBB,ชายโครงแท้,7
PPBPBP,PBPBPB,BBPBBB,ชายโครงแท้,6
BBPPBB,BPBPBP,PPBBBB,ชายโครงแท้,6
BPPPPB,BPBPBPBPBPBP,PBPBBP,ชายโครงแท้,12
BPBBPP,PBPBPBPB,B,ชายโครงแท้,8
PPPBBP,PBPBPBPB,BBBPPP,ชายโครงแท้,8
PPPBBB,BPBPBP,PPPPBB,ชายโครงแท้,6
PBBBBP,PBPBPBP,PPBBPP,ชายโครงแท้,7
BPPBBP,PBPBPBP,PBB,ชายโครงแท้,7
PBPP,PBPBPBPB,BPBPBB,ชายโครงแท้,8
BBBPPP,PBPBPB,BPPBBP,ชายโครงแท้,6
B,BPBPBPB,BBBPBB,ชายโครงแท้,7
BPPBBB,BPBPBPBPBP,PBBBPB,ชายโครงแท้,10
PPPBPP,PBPBPB,BBPBBP,ชายโครงแท้,6
BPB,BPBPBP,PPBPBB,ชายโครงแท้,6
BBBPBP,PBPBPB,BBBPPB,ชายโครงแท้,6
PPBBPP,PBPBPBPBP,,ชายโครงแท้,9
BPBPPP,PBPBPB,BBBPPB,ชายโครงแท้,6
PPPPBP,PBPBPB,BBPPPP,ชายโครงแท้,6
PBPBPP,PBPBPBPB,BPBPBB,ชายโครงแท้,8
PPBPPB,BPBPBP,PPPBPB,ชายโครงแท้,6
BPBPPP,PBPBPB,BBBPBP,ชายโครงแท้,6
BBPBPP,PBPBPBP,PBBPPP,ชายโครงแท้,7
PPBPBP,PBPBPB,BPBPBB,ชายโครงแท้,6
PBPBBP,PBPBPB,BBBBPB,ชายโครงแท้,6
BPBBBB,BPBPBPBP,PPBPBP,ชายโครงแท้,8
PBPPPP,PBPBPBP,PBBBBB,ชายโครงแท้,7
PPBBPB,BPBPBP,PPPBPP,ชายโครงแท้,6
PBBBP,PBPBPB,BBPPPB,ชายโครงแท้,6
BBPPBB,BPBPBP,PPPBPB,ชายโครงแท้,6
BPPBPB,BPBPBP,PBPPPP,ชายโครงแท้,6
PPPBBB,BPBPBP,PPBPPB,ชายโครงแท้,6
PPBBBB,BPBPBP,PBBBPB,ชายโครงแท้,6
BPBPPP,PBPBPB,BPBBPB,ชายโครงแท้,6
PPPBBB,BPBPBP,PBBBBB,ชายโครงแท้,6
BPBP,PBPBPB,BPBBBP,ชายโครงแท้,6
PBBPBB,BPBPBPB,BBBPBB,ชายโครงแท้,7
PBBBBB,BPBPBP,PPBBBP,ชายโครงแท้,6
BBBBBB,BPBPBPBP,PBPPPB,ชายโครงแท้,8
BBPPBP,PBPBPB,BBPBBP,ชายโครงแท้,6
BBPBPP,PBPBPBP,PPBPPB,ชายโครงแท้,7
BBPPBP,PBPBPB,BBBBBP,ชายโครงแท้,6
P,PBPBPBP,PPPPBP,ชายโครงแท้,7
PPPPBP,PBPBPB,BBPBBP,ชายโครงแท้,6
BBBPPB,BPBPBP,PBBBBP,ชายโครงแท้,6
BPPBBB,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPBP,PBPBP,ชายโครงแท้,7
BBBBPB,BPBPBPB,BBBBBP,ชายโครงแท้,7
BPPPBB,BPBPBPB,BPPBBP,ชายโครงแท้,7
BBBBPP,PBPBPB,B,ชายโครงแท้,6
BBBBPP,PBPBPB,B,ชายโครงแท้,6
PBPBPP,PBPBPB,BPBPBP,ชายโครงแท้,6
PBPBPB,BPBPBP,PBPPPP,ชายโครงแท้,6
PBPBBB,BPBPBPB,BPBPBB,ชายโครงแท้,7
BPPPPP,PBPBPB,BBBBBP,ชายโครงแท้,6
PBBPBB,BPBPBP,PPPBPP,ชายโครงแท้,6
BBBPBB,BPBPBPBP,PPPPPB,ชายโครงแท้,8
BBBPBB,BPBPBPBP,PPPPPB,ชายโครงแท้,8
PPPBBB,BPBPBPB,BPBPPB,ชายโครงแท้,7
B,BPBPBP,PBPBPP,ชายโครงแท้,6
BPBPPP,PBPBPBPB,BPBPPB,ชายโครงแท้,8
PBBBBP,PBPBPBPBPB,BPPBPB,ชายโครงแท้,10
BBPPPB,BPBPBP,PBPPBB,ชายโครงแท้,6
BPPPPP,PBPBPBP,PPPBBB,ชายโครงแท้,7
PPBPPB,BPBPBP,PPBPPP,ชายโครงแท้,6
BPPPPB,BPBPBPB,BBPBPB,ชายโครงแท้,7
BPPPPB,BPBPBPBP,PPBPPB,ชายโครงแท้,8
BBPBBB,BPBPBPBP,PBBPBB,ชายโครงแท้,8
PBBPBP,PBPBPB,BPPPBP,ชายโครงแท้,6
PBBBPB,BPBPBPB,BBBPPB,ชายโครงแท้,7
BPPBPP,PBPBPB,BP,ชายโครงแท้,6
,BPBPBP,PPPBBB,ชายโครงแท้,6
PBBBBB,BPBPBP,PBPPBP,ชายโครงแท้,6
BPBBBP,PBPBPBPBP,,ชายโครงแท้,9
BBPPBB,BPBPBPB,BBPBBP,ชายโครงแท้,7
PPBBBB,BPBPBP,PBBPPP,ชายโครงแท้,6
PPPBPB,BPBPBPB,BPBPPP,ชายโครงแท้,7
,BPBPBPBP,PPPBBB,ชายโครงแท้,8
BPBPPB,BPBPBP,PPBPBP,ชายโครงแท้,6
PBPBPP,PBPBPB,BBPBBB,ชายโครงแท้,6
PBBBPB,BPBPBP,,ชายโครงแท้,6
PPBPPP,PBPBPBP,PPBBBP,ชายโครงแท้,7
PBBPBB,BPBPBPBP,PPBPB,ชายโครงแท้,8
BPPPBP,PBPBPB,BPBBPB,ชายโครงแท้,6
BBPBPP,PBPBPB,BPPBBP,ชายโครงแท้,6
BPPBPP,PBPBPBPB,BBPBPB,ชายโครงแท้,8
BBBPPB,BPBPBPBP,PPPPB,ชายโครงแท้,8
PPBPBP,PBPBPBPBPBPB,BBPP,ชายโครงแท้,12
BBBBB,BPBPBPBP,PPPPPB,ชายโครงแท้,8
PPPBBB,BPBPBP,PBBBPB,ชายโครงแท้,6
,PBPBPBP,PPPPPP,ชายโครงแท้,7
,PBPBPBPBP,PBPBPB,ชายโครงแท้,9
BPBPBP,PBPBPB,BPBBPP,ชายโครงแท้,6
BPBBPP,PBPBPBP,PPBBPP,ชายโครงแท้,7
BBBBPB,BPBPBPBPB,BPPPBB,ชายโครงแท้,9
PBPBPP,PBPBPB,,ชายโครงแท้,6
PPPPPB,BPBPBP,PPPPBP,ชายโครงแท้,6
BBP,PBPBPBPBP,PPBPBB,ชายโครงแท้,9
BPBPBB,BPBPBP,PBBBPB,ชายโครงแท้,6
PBPPBB,BPBPBP,PPBBPP,ชายโครงแท้,6
PBBPPP,PBPBPB,BPPPPB,ชายโครงแท้,6
BPPPBP,PBPBPBPB,BBPBBP,ชายโครงแท้,8
PBBBPB,BPBPBP,PBPPBB,ชายโครงแท้,6
PBBPPB,BPBPBP,,ชายโครงแท้,6
BBPBB,BPBPBPB,BPBBPP,ชายโครงแท้,7
BBBPP,PBPBPB,BPPBPP,ชายโครงแท้,6
PBPBBP,PBPBPB,BPPBBB,ชายโครงแท้,6
PPB,BPBPBPB,BBBBPP,ชายโครงแท้,7
BBPPBB,BPBPBP,PBBPPP,ชายโครงแท้,6
BBBPBP,PBPBPBP,PBBBPP,ชายโครงแท้,7
PBBPPP,PBPBPB,BBBBBP,ชายโครงแท้,6
BPP,PBPBPBPB,BPBBPP,ชายโครงแท้,8
BPPBPP,PBPBPBPB,,ชายโครงแท้,8
PPPPPB,BPBPBPB,BBPBPP,ชายโครงแท้,7
PBBPBP,PBPBPBPBP,PB,ชายโครงแท้,9
BPBBPP,PBPBPBP,PPPPBB,ชายโครงแท้,7
PPPPPB,BPBPBPB,BPPB,ชายโครงแท้,7
BPBPPB,BPBPBPB,B,ชายโครงแท้,7
PBPBBP,PBPBPB,BBPPPB,ชายโครงแท้,6
PBBBPP,PBPBPB,BPPBBP,ชายโครงแท้,6
BBPPBB,BPBPBP,,ชายโครงแท้,6
BPBPPP,PBPBPB,BPPBPB,ชายโครงแท้,6
BBBBPB,BPBPBP,PPPPPP,ชายโครงแท้,6
PBBPPP,PBPBPBP,PBPPPP,ชายโครงแท้,7
B,BPBPBP,PPPBPP,ชายโครงแท้,6
BPPPBB,BPBPBP,PBBPPP,ชายโครงแท้,6
BBBBBP,PBPBPB,BPPBPP,ชายโครงแท้,6
BPPBPB,BPBPBPBP,PBBBPB,ชายโครงแท้,8
PPBPBB,BPBPBPB,BPBBBB,ชายโครงแท้,7
BBPPBP,PBPBPB,BBPPBB,ชายโครงแท้,6
PPPPBB,BPBPBPB,BPPPBP,ชายโครงแท้,7
BBBBBP,PBPBPBPBP,PBBPPB,ชายโครงแท้,9
BBP,PBPBPBPB,BPBBPP,ชายโครงแท้,8
PPPPBP,PBPBPB,BBPBPP,ชายโครงแท้,6
BBB,BPBPBP,PBBBBB,ชายโครงแท้,6
BBBPPP,PBPBPBP,PPPPBP,ชายโครงแท้,7
BBBBBP,PBPBPBP,PPBBBP,ชายโครงแท้,7
,BPBPBPB,BBPBPB,ชายโครงแท้,7
BPPPBB,BPBPBPBP,PBPPPB,ชายโครงแท้,8
,BPBPBPB,BPPPBP,ชายโครงแท้,7
BPBBPP,PBPBPB,BPPBBB,ชายโครงแท้,6
BBBBPP,PBPBPB,BPBBPP,ชายโครงแท้,6
BBPPBP,PBPBPB,BPPP,ชายโครงแท้,6
BBBPBP,PBPBPBPB,BBPBBB,ชายโครงแท้,8
BPBBBB,BPBPBP,PBBBBP,ชายโครงแท้,6
BPBBBB,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPB,BPBBBP,ชายโครงแท้,6
,PBPBPB,BPPBPB,ชายโครงแท้,6
BBB,BPBPBPB,BPBPPP,ชายโครงแท้,7
,BPBPBP,PPPBPP,ชายโครงแท้,6
PPPBPB,BPBPBP,PBPPPB,ชายโครงแท้,6
BPPPPP,PBPBPBP,PPBPPB,ชายโครงแท้,7
BBBBPB,BPBPBP,PPBPPP,ชายโครงแท้,6
BPPPPP,PBPBPB,BPPPBP,ชายโครงแท้,6
BP,PBPBPB,BBBBBP,ชายโครงแท้,6
BBPBPP,PBPBPBPB,BBBBPB,ชายโครงแท้,8
PPPPBB,BPBPBPB,BPBBPB,ชายโครงแท้,7
BPBBPB,BPBPBP,P,ชายโครงแท้,6
PPBB,BPBPBPB,BPBBBB,ชายโครงแท้,7
PBBPPB,BPBPBP,,ชายโครงแท้,6
PPBPPB,BPBPBP,PB,ชายโครงแท้,6
PBBBBP,PBPBPB,BPBBBP,ชายโครงแท้,6
BBBPBB,BPBPBPBPB,BBPBBP,ชายโครงแท้,9
BPPBPB,BPBPBP,PBBPPP,ชายโครงแท้,6
PPPBBP,PBPBPBP,PBPPBP,ชายโครงแท้,7
BBPPPB,BPBPBP,PBBBBB,ชายโครงแท้,6
PBBBPP,PBPBPB,B,ชายโครงแท้,6
BB,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPBPB,BPBBBB,ชายโครงแท้,8
BBPPPB,BPBPBPBP,PPPPBP,ชายโครงแท้,8
P,PBPBPBP,PBBPBB,ชายโครงแท้,7
BBBPPB,BPBPBP,PBPPBP,ชายโครงแท้,6
PBPPBP,PBPBPB,BPPBPB,ชายโครงแท้,6
PBPBBP,PBPBPBPB,BBBBBB,ชายโครงแท้,8
PP,PBPBPBP,PPPPPB,ชายโครงแท้,7
PPBPBP,PBPBPB,BPPBPB,ชายโครงแท้,6
PBPBBP,PBPBPBP,PPBBPP,ชายโครงแท้,7
BBBBBB,BPBPBPBP,,ชายโครงแท้,8
PBBPBP,PBPBPBPBPBP,PPPPPP,ชายโครงแท้,11
PPBPBB,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPBP,PBBBBP,ชายโครงแท้,7
PBBBPP,PBPBPBP,PBBPBB,ชายโครงแท้,7
PBPBBP,PBPBPB,BBPBBP,ชายโครงแท้,6
BPBBPP,PBPBPBPB,BBBBPP,ชายโครงแท้,8
PPPBPB,BPBPBP,P,ชายโครงแท้,6
BBBBPP,PBPBPBPBPBPBPB,BP,ชายโครงแท้,14
BPPPPB,BPBPBP,P,ชายโครงแท้,6
PBPBBB,BPBPBP,PPPPPP,ชายโครงแท้,6
PBBB,BPBPBPB,BBBBBB,ชายโครงแท้,7
PBPPBB,BPBPBPBPB,BBPBBB,ชายโครงแท้,9
BBBPPP,PBPBPBP,PPBBPP,ชายโครงแท้,7
BBPBPP,PBPBPB,BPPPPP,ชายโครงแท้,6
BP,PBPBPB,BPPPBB,ชายโครงแท้,6
PPPPBP,PBPBPB,B,ชายโครงแท้,6
PPPBPP,PBPBPB,BBPBBB,ชายโครงแท้,6
PP,PBPBPB,BBPBPP,ชายโครงแท้,6
PPBPPP,PBPBPBP,PPPPPB,ชายโครงแท้,7
BBBPPB,BPBPBPBPB,BBPPPB,ชายโครงแท้,9
PPPPB,BPBPBP,PPPPBP,ชายโครงแท้,6
,PBPBPB,BBPPBB,ชายโครงแท้,6
PPPPPB,BPBPBP,PPPPBP,ชายโครงแท้,6
BBBPPP,PBPBPBPBPB,BPPPBP,ชายโครงแท้,10
PPPBPB,BPBPBPB,BPBPBB,ชายโครงแท้,7
BBPPBB,BPBPBPB,BBBBBP,ชายโครงแท้,7
P,PBPBPB,BBBBBP,ชายโครงแท้,6
BBPPBB,BPBPBPBPBP,PPBBPP,ชายโครงแท้,10
BPBPPB,BPBPBP,PP,ชายโครงแท้,6
P,PBPBPB,BBPPPB,ชายโครงแท้,6
BBBBBP,PBPBPB,BBBPBP,ชายโครงแท้,6
PPPBPB,BPBPBPBPB,,ชายโครงแท้,9
BBBPBP,PBPBPB,BPPBBP,ชายโครงแท้,6
PPP,PBPBPB,BBBPBB,ชายโครงแท้,6
,PBPBPB,BBPBPP,ชายโครงแท้,6
PPPPBB,BPBPBP,PBBBP,ชายโครงแท้,6
PPPBPP,PBPBPB,BPPPPP,ชายโครงแท้,6
BBBPBP,PBPBPB,BPBBPP,ชายโครงแท้,6
PPBBPB,BPBPBP,PP,ชายโครงแท้,6
PBPPPP,PBPBPBP,PPBPBP,ชายโครงแท้,7
PPBBBB,BPBPBP,PBBPBP,ชายโครงแท้,6
PPBBBB,BPBPBP,PBBPBP,ชายโครงแท้,6
BBBPPB,BPBPBP,PBBBPB,ชายโครงแท้,6
PBBPPB,BPBPBP,,ชายโครงแท้,6
PPPPB,BPBPBP,PPBPPP,ชายโครงแท้,6
PPBPBP,PBPBPB,BPBPBP,ชายโครงแท้,6
PBPBPB,BPBPBP,PBPPPP,ชายโครงแท้,6
PPPBPP,PBPBPB,BPPPBB,ชายโครงแท้,6
B,BPBPBPBPBPB,BBPPPB,ชายโครงแท้,11
PPBPPP,PBPBPBP,PBBPBB,ชายโครงแท้,7
BBPBBP,PBPBPB,BBPBBP,ชายโครงแท้,6
PBBBPB,BPBPBP,PPBPPB,ชายโครงแท้,6
,PBPBPB,BBBPPP,ชายโครงแท้,6
,BPBPBP,PBPPPP,ชายโครงแท้,6
BBBBPB,BPBPBP,PBBPPP,ชายโครงแท้,6
,PBPBPBPBPB,BPBPBP,ชายโครงแท้,10
PBPBPB,BPBPBP,PPPBPB,ชายโครงแท้,6
BPBPPP,PBPBPB,BPPBPB,ชายโครงแท้,6
BBBBBP,PBPBPB,BB,ชายโครงแท้,6
BBBPBB,BPBPBPBPB,BBPPPP,ชายโครงแท้,9
BBPBPP,PBPBPBP,PPPPPB,ชายโครงแท้,7
PPBB,BPBPBP,PPPPPB,ชายโครงแท้,6
PBBBBP,PBPBPB,BBPPPP,ชายโครงแท้,6
PBBBBP,PBPBPB,BBPPPP,ชายโครงแท้,6
