before,chai_khrong,after,type,length
BPBBBB,BPBPBPBP,PPBBBB,ชายโครงแท้,8
PBBPPP,PBPBPBP,PPPB,ชายโครงแท้,7
PPPPPP,PBPBPBP,PBBBBP,ชายโครงแท้,7
PPPPPB,BPBPBPB,BPPBPB,ชายโครงแท้,7
PBB,BPBPBP,PPBBBB,ชายโครงแท้,6
PBBPBP,PBPBPBP,PBPBBB,ชายโครงแท้,7
PPBBPP,PBPBPBPBP,PPBBPP,ชายโครงแท้,9
PPBPBP,PBPBPBP,PBBPPB,ชายโครงแท้,7
PPBBBB,BPBPBP,PBPPBP,ชายโครงแท้,6
PBPBBB,BPBPBPB,BB,ชายโครงแท้,7
BPPBPP,PBPBPB,BPBPBB,ชายโครงแท้,6
PBBBP,PBPBPBPB,BBPBPP,ชายโครงแท้,8
PPBPBP,PBPBPB,BPBBBB,ชายโครงแท้,6
BPPBPB,BPBPBPB,BBBBBP,ชายโครงแท้,7
BBBPPP,PBPBPB,BBBBPB,ชายโครงแท้,6
BBBBBB,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPBPB,BPBBPP,ชายโครงแท้,8
PPBPBB,BPBPBP,PBPBBB,ชายโครงแท้,6
PBPPPP,PBPBPB,BBPPBP,ชายโครงแท้,6
BPBBBP,PBPBPBPBPB,BPBPBP,ชายโครงแท้,10
PBPBPB,BPBPBP,PPBBBB,ชายโครงแท้,6
BBBPPP,PBPBPBPBP,PPBBPP,ชายโครงแท้,9
PBBBPP,PBPBPBP,PBP,ชายโครงแท้,7
PBBBPP,PBPBPBPB,BBPPBB,ชายโครงแท้,8
BBPBBP,PBPBPB,BPPPBP,ชายโครงแท้,6
BPPBBP,PBPBPBPB,BBBPPP,ชายโครงแท้,8
PBBPPP,PBPBPB,BBBPBP,ชายโครงแท้,6
PPBBBB,BPBPBP,P,ชายโครงแท้,6
PPPPB,BPBPBPBP,PBPBBB,ชายโครงแท้,8
PPBBPP,PBPBPB,BBBBBB,ชายโครงแท้,6
PPPPPP,PBPBPB,BPBPBB,ชายโครงแท้,6
BPBPBB,BPBPBPB,BPPPPP,ชายโครงแท้,7
BBPBBP,PBPBPB,BPBBBB,ชายโครงแท้,6
BPPBBP,PBPBPB,BPPPBP,ชายโครงแท้,6
BBBBPP,PBPBPBPB,BPBBPP,ชายโครงแท้,8
,PBPBPBP,PBPPBP,ชายโครงแท้,7
BBBBBB,BPBPBPBP,PPBBBP,ชายโครงแท้,8
,BPBPBP,PBBPBB,ชายโครงแท้,6
PPPBPB,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPBPB,BPPPBB,ชายโครงแท้,8
BBBP,PBPBPB,BPBBBB,ชายโครงแท้,6
PPPBPB,BPBPBPB,BPBPBB,ชายโครงแท้,7
PPBBBB,BPBPBPBPB,BBBPBB,ชายโครงแท้,9
BBBBBP,PBPBPB,B,ชายโครงแท้,6
PBBBPB,BPBPBP,PPPPPB,ชายโครงแท้,6
BPPPBB,BPBPBPBP,PB,ชายโครงแท้,8
BBPPPB,BPBPBP,,ชายโครงแท้,6
BPBBPB,BPBPBP,PPPPBB,ชายโครงแท้,6
PBBPPP,PBPBPBP,PPBPBP,ชายโครงแท้,7
BBPBPB,BPBPBP,PPPPPB,ชายโครงแท้,6
BBBBBP,PBPBPB,BPPPPB,ชายโครงแท้,6
PPBBPP,PBPBPBPB,B,ชายโครงแท้,8
BBPBPB,BPBPBP,PPPPBB,ชายโครงแท้,6
PBBBPP,PBPBPB,BBPPPP,ชายโครงแท้,6
PBBBPP,PBPBPBP,PBBBPB,ชายโครงแท้,7
PPPPPB,BPBPBP,PBBBBB,ชายโครงแท้,6
BPPBBP,PBPBPB,BBPBPB,ชายโครงแท้,6
BPBPBB,BPBPBPB,BBBBPP,ชายโครงแท้,7
PBBPPB,BPBPBP,PBPPBB,ชายโครงแท้,6
PPBBBB,BPBPBP,PB,ชายโครงแท้,6
PBPPBP,PBPBPB,BPBBPP,ชายโครงแท้,6
PPBBBB,BPBPBP,PBPBBP,ชายโครงแท้,6
,PBPBPB,BPBPPB,ชายโครงแท้,6
BBPPBB,BPBPBP,PPPBPB,ชายโครงแท้,6
PPBPBP,PBPBPB,BPPPBB,ชายโครงแท้,6
PPBPBB,BPBPBPBPB,BBBBPP,ชายโครงแท้,9
PPBPPB,BPBPBP,PPPPPP,ชายโครงแท้,6
BPPBPB,BPBPBP,PPPPBB,ชายโครงแท้,6
BPPBPP,PBPBPB,BPPPBP,ชายโครงแท้,6
BBB,BPBPBP,PPBBPB,ชายโครงแท้,6
PBBPBP,PBPBPBPBPB,BBPBBB,ชายโครงแท้,10
BPBBBB,BPBPBPB,BPBPBB,ชายโครงแท้,7
BBBPBP,PBPBPBP,P,ชายโครงแท้,7
PBBPBP,PBPBPB,BPBBBB,ชายโครงแท้,6
BBBPPB,BPBPBP,PBBPPB,ชายโครงแท้,6
PBBBBP,PBPBPB,BPPBPP,ชายโครงแท้,6
PPBBBP,PBPBPB,BPPBPP,ชายโครงแท้,6
PPPPBB,BPBPBPBPBP,PPPPBB,ชายโครงแท้,10
BBBBBP,PBPBPB,BPPPBB,ชายโครงแท้,6
PBPBBB,BPBPBPB,BPBP,ชายโครงแท้,7
PPBPPP,PBPBPBP,PPPPBP,ชายโครงแท้,7
BPBPBB,BPBPBPB,BPPPBP,ชายโครงแท้,7
PBPBBB,BPBPBP,PPPPPP,ชายโครงแท้,6
PBBPBP,PBPBPB,BPBBPP,ชายโครงแท้,6
BPBBPP,PBPBPB,BBBPPP,ชายโครงแท้,6
PPB,BPBPBP,PBBPBB,ชายโครงแท้,6
BPBBPB,BPBPBPBP,PPBBBB,ชายโครงแท้,8
BBPPBP,PBPBPB,BPBPPP,ชายโครงแท้,6
PPBPPP,PBPBPB,BPBBB,ชายโครงแท้,6
BBBPPB,BPBPBPB,BBPBPB,ชายโครงแท้,7
P,PBPBPB,BPBBPB,ชายโครงแท้,6
PPBBBB,BPBPBPBPBPBPBP,PPBBBB,ชายโครงแท้,14
PBBPBP,PBPBPB,BPBPBP,ชายโครงแท้,6
PBPBPB,BPBPBP,PPPBPB,ชายโครงแท้,6
BPBPPP,PBPBPBPB,BBPPBB,ชายโครงแท้,8
BBPBP,PBPBPB,BPPPPP,ชายโครงแท้,6
BBPBBB,BPBPBP,P,ชายโครงแท้,6
PBBPPP,PBPBPB,BBBPPP,ชายโครงแท้,6
,BPBPBP,PBPBPP,ชายโครงแท้,6
BPBBBB,BPBPBP,PPBPBB,ชายโครงแท้,6
BBBPPP,PBPBPBPB,BPBPBP,ชายโครงแท้,8
PBPBPB,BPBPBP,PB,ชายโครงแท้,6
BB,BPBPBPB,BBPBBB,ชายโครงแท้,7
BPBPPB,BPBPBP,PBBPPB,ชายโครงแท้,6
BPPPPB,BPBPBP,PPPBBP,ชายโครงแท้,6
PBBP,PBPBPBPBP,PPPBPP,ชายโครงแท้,9
BBBBBP,PBPBPB,BBBPBB,ชายโครงแท้,6
PPPBBP,PBPBPBP,PPPBBB,ชายโครงแท้,7
BBBPBB,BPBPBP,PBPPBB,ชายโครงแท้,6
PPPPPB,BPBPBP,PBBBPB,ชายโครงแท้,6
PBPPBB,BPBPBP,PPPBPP,ชายโครงแท้,6
PPBBBB,BPBPBPB,BPPPPP,ชายโครงแท้,7
BPPBB,BPBPBP,PPPPPP,ชายโครงแท้,6
PPPPBB,BPBPBP,PPBPPP,ชายโครงแท้,6
PBBBBB,BPBPBPB,BPPBPB,ชายโครงแท้,7
PBPBBP,PBPBPBPBP,PBPBBP,ชายโครงแท้,9
BPBBBP,PBPBPBPBPB,BPBPBB,ชายโครงแท้,10
PBBPBP,PBPBPBPBPB,BBBPBB,ชายโครงแท้,10
BBBBPB,BPBPBPBPB,B,ชายโครงแท้,9
BPPBBP,PBPBPB,BPBPPB,ชายโครงแท้,6
BPBBPB,BPBPBPB,BBPBPB,ชายโครงแท้,7
BPBPBB,BPBPBPBP,PPPPPP,ชายโครงแท้,8
,PBPBPB,BBBPBB,ชายโครงแท้,6
PPBPBP,PBPBPBP,PPBPP,ชายโครงแท้,7
PBBBBP,PBPBPB,BPBPBB,ชายโครงแท้,6
BPPPBP,PBPBPB,BPPBPP,ชายโครงแท้,6
BBBPBP,PBPBPB,BBPPPB,ชายโครงแท้,6
PPPPPB,BPBPBP,PPBPBP,ชายโครงแท้,6
PPPPPB,BPBPBP,PPBPBP,ชายโครงแท้,6
BBPBPB,BPBPBP,,ชายโครงแท้,6
PPBPPB,BPBPBP,PBPBPP,ชายโครงแท้,6
BPPBPB,BPBPBPBP,PBPPPB,ชายโครงแท้,8
BPPBPB,BPBPBPBP,PBPPPB,ชายโครงแท้,8
BBPPBP,PBPBPB,BBPPBP,ชายโครงแท้,6
BBPBPB,BPBPBPBP,PBBBBB,ชายโครงแท้,8
PBBBB,BPBPBPB,BPPBPP,ชายโครงแท้,7
PPPBBP,PBPBPBP,PBBBPP,ชายโครงแท้,7
BPPBPP,PBPBPB,BPPPPP,ชายโครงแท้,6
PPPBPB,BPBPBPBPB,BBBPBP,ชายโครงแท้,9
PBPBBB,BPBPBP,PPBB,ชายโครงแท้,6
BBBBBB,BPBPBPB,BBBPBB,ชายโครงแท้,7
PPPBPP,PBPBPB,BBPBPP,ชายโครงแท้,6
PPPBPP,PBPBPB,BBPBPP,ชายโครงแท้,6
PPPBPP,PBPBPB,BBPBPP,ชายโครงแท้,6
BBPBBB,BPBPBP,PBBPBP,ชายโครงแท้,6
B,BPBPBP,PBPBPP,ชายโครงแท้,6
BPPPPP,PBPBPB,BBPBBP,ชายโครงแท้,6
PBBBPB,BPBPBPB,BP,ชายโครงแท้,7
BBBPPB,BPBPBPBPBPB,BBPPBP,ชายโครงแท้,11
BPPPBB,BPBPBPBPB,,ชายโครงแท้,9
PBBBPP,PBPBPB,BPPPBP,ชายโครงแท้,6
PBBBPP,PBPBPB,BPPPBP,ชายโครงแท้,6
PPBBPP,PBPBPBPBP,PBPPBB,ชายโครงแท้,9
BBBPBP,PBPBPB,BPPBPP,ชายโครงแท้,6
PBPBP,PBPBPBPB,BBBPBB,ชายโครงแท้,8
BBPPBB,BPBPBPBP,,ชายโครงแท้,8
PPBBPB,BPBPBPBP,PPPBPP,ชายโครงแท้,8
PPBPBB,BPBPBPB,BPPBBP,ชายโครงแท้,7
PPBBPP,PBPBPB,BPPPBP,ชายโครงแท้,6
PPPBBP,PBPBPB,BBPBPP,ชายโครงแท้,6
PPBBPP,PBPBPBP,PBPPBB,ชายโครงแท้,7
PBBBBB,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPBP,PPBPBB,ชายโครงแท้,7
BPBBP,PBPBPBP,PBBPPP,ชายโครงแท้,7
PPPPBP,PBPBPBPB,BPPBPP,ชายโครงแท้,8
PBBPPP,PBPBPBPB,BBBBBB,ชายโครงแท้,8
BBBPBP,PBPBPBP,PBPBBB,ชายโครงแท้,7
BBBBBB,BPBPBP,PBBPBB,ชายโครงแท้,6
PPBBP,PBPBPBPBP,PBBBPB,ชายโครงแท้,9
PPBBP,PBPBPBPBP,PBBBPB,ชายโครงแท้,9
BPPPBB,BPBPBP,PPPPBB,ชายโครงแท้,6
BBPPBB,BPBPBPB,,ชายโครงแท้,7
BPBBPB,BPBPBP,PBPPBP,ชายโครงแท้,6
BBPPBB,BPBPBPB,BPPBPB,ชายโครงแท้,7
PBPBBP,PBPBPBP,PPBPBB,ชายโครงแท้,7
PPPBPB,BPBPBPB,BPBBBP,ชายโครงแท้,7
BBBBBP,PBPBPBP,PBBPBB,ชายโครงแท้,7
BBBPPP,PBPBPBPBP,PPPBPB,ชายโครงแท้,9
BPBPPP,PBPBPBP,PBPPBB,ชายโครงแท้,7
PBPPPP,PBPBPBPB,,ชายโครงแท้,8
PBPBPP,PBPBPB,BBBPBB,ชายโครงแท้,6
PPBPPP,PBPBPB,BBBBBP,ชายโครงแท้,6
PPBBPB,BPBPBPB,BBBPPP,ชายโครงแท้,7
PPBBPB,BPBPBPB,BBBPPP,ชายโครงแท้,7
PPPPPB,BPBPBP,PBPPPB,ชายโครงแท้,6
BPBBPP,PBPBPB,BPPBPP,ชายโครงแท้,6
PPBBPB,BPBPBP,PPBBPB,ชายโครงแท้,6
BBPPBP,PBPBPBPB,BPPBBB,ชายโครงแท้,8
PPBBBB,BPBPBPBPB,BPBBBP,ชายโครงแท้,9
PBPB,BPBPBPB,BPBBBB,ชายโครงแท้,7
PBBPBB,BPBPBP,PBPPBP,ชายโครงแท้,6
BBPBPP,PBPBPB,BBBBPB,ชายโครงแท้,6
PBPP,PBPBPB,BBPBBP,ชายโครงแท้,6
PBPP,PBPBPB,BBPBBP,ชายโครงแท้,6
B,BPBPBP,PBBBBP,ชายโครงแท้,6
BPPB,BPBPBPB,BBBBBP,ชายโครงแท้,7
PBBBBB,BPBPBP,PPPPPP,ชายโครงแท้,6
BPBBBB,BPBPBP,PPBPPP,ชายโครงแท้,6
PBPPBP,PBPBPB,BBPPBP,ชายโครงแท้,6
BPPBPP,PBPBPBP,PBBPPP,ชายโครงแท้,7
,BPBPBPBP,PPPBPB,ชายโครงแท้,8
B,BPBPBPBP,PPBBPP,ชายโครงแท้,8
B,BPBPBPBP,PPBBPP,ชายโครงแท้,8
BPBPPB,BPBPBPBPB,BPBPPP,ชายโครงแท้,9
BBBBPB,BPBPBPBPB,BPPP,ชายโครงแท้,9
BPBPPB,BPBPBP,PPPBPP,ชายโครงแท้,6
PBPBBB,BPBPBP,PBPP,ชายโครงแท้,6
BPBBBP,PBPBPB,BPPPPB,ชายโครงแท้,6
