before,pingpong_tie,after,length,tie_position
BPTBBB,PBPBT,PPTTBB,5,41
TTBBPP,BPBPT,BPPPTP,5,38
BTBPPB,PBPBT,PBPPTB,5,45
PPBBPB,TPTPT,BBPPPB,5,12
TBBPTB,BPBPT,BPPBPB,5,18
PPTPBB,BPBPT,BBBPBB,5,16
PPBPTP,BPBPT,BPPPPB,5,35
PPBPBB,PBPBT,TBBPPB,5,46
BBPPTB,BPBPT,PBPPPP,5,23
PPBPPB,BPBPT,PTBPPB,5,34
BPPPPB,BPBPT,BPPPTP,5,29
BTPPPP,PBPBT,TBBBBP,5,14
BPPTPB,PBPBT,TPPPPB,5,29
BBPPPB,PBPBT,TBPBPB,5,48
BBPBBB,PBPBT,BPPPBP,5,11
PPBPBB,BPBPT,TPTPPP,5,24
PBPBPB,BPBPT,BBBBBP,5,37
BPBBBP,TPTPT,BBPBPB,5,44
BPPBBB,BPBPT,PBPBPT,5,32
BPBPTP,BPBPT,PTBPPP,5,38
PPPPBP,PBPBT,PBBPBB,5,10
PBBBPP,PBPBT,BPBBBP,5,10
BBPPPB,BPBPT,PTBBBP,5,36
BPPBBB,PBPBT,PTPPTB,5,40
BPBBBB,PBPBT,PTBBPB,5,35
BBBBPB,TPTPT,PPPBBB,5,38
BBPPBP,PBPBT,PPPPBP,5,15
BBBTBP,PBPBT,BPPBPP,5,16
BPPBPP,BPBPT,BBPPPP,5,35
PBPPPB,BPBPT,BBPPBB,5,51
BBPPBP,BPBPT,BBBTTP,5,34
PBBBBP,BPBPT,PBTPBP,5,12
PPPBTT,PBPBT,TBBPPP,5,37
PBBBPT,PBPBT,BPPTBP,5,26
PBBBPB,PBPBT,PBBBBB,5,42
PBPPPP,TPTPT,BPPPPP,5,28
PPPPBB,PBPBT,TBTPPP,5,23
PPPTTP,PBPBT,BBBBPB,5,34
BPPPBB,BTBTT,PBBBBB,5,38
PPPBPB,PBPBT,PPPPPP,5,24
PPTBBP,PBPBT,PBPPBT,5,20
BPPBBB,PBPBT,BBPPTP,5,47
TPBPPB,TBTBT,TBPPPP,5,21
PBPPBB,PBPBT,BBBPBT,5,36
BBPPBT,BPBPT,PPPTPB,5,11
BBBBPB,PBPBT,TBPBBP,5,50
TBPTBP,BPBPT,BBPPPB,5,25
BPBPPB,BPBPT,PBBPPT,5,32
PPBPPB,PBPBT,BTBTPP,5,12
PPBPPB,PBPBT,BTBTPP,5,12
PPBPPB,PBPBT,BTBTPP,5,12
BPPPPP,PBPBT,PPBPBT,5,11
PBPBTP,PBPBT,PPBTPT,5,17
PTPPPT,TPTPT,PPBBPB,5,46
TBBPBP,BPBPT,BPPPPB,5,34
BBPBBP,PBPBT,BPPPPB,5,40
PPTBBP,BPBPT,PTTBTP,5,13
BPPBBB,BPBPT,PBPPBB,5,23
PPBBPP,PBPBT,BBBBPT,5,15
BBPTPP,PBPBT,BPPBPB,5,28
BBPPPP,PBPBT,PPPPPT,5,12
BPBBPB,BPBPT,TBBPBT,5,23
TPBPBB,BTBTT,BPPPPB,5,16
BBBPBB,PBPBT,TPPPPP,5,46
BPBBBP,BPBPT,BPPBPP,5,20
PBBBPB,BPBPT,PPBBBB,5,44
BBPPBB,PBPBT,PBBPTB,5,25
PPPPBP,BPBPT,TBBTPB,5,26
TPPPPB,PBPBT,BPBPTP,5,23
BPBPBT,BPBPT,PPBBBP,5,28
BPBBBB,PBPBT,PBBPBP,5,43
BPPBBB,PBPBT,BBPBPP,5,37
PBBBPB,PBPBT,BPBBPP,5,20
BPPTPB,PBPBT,BBBPPP,5,18
PPBPPB,PBPBT,BPBTTB,5,36
PBBBPT,PBPBT,TTPPTP,5,39
PBBBPP,PBPBT,BBBBTB,5,26
PBPPPB,PBPBT,PPTPBP,5,15
BPBBBP,PBPBT,PPPPPB,5,11
BBBPBP,PBPBT,PPPBBB,5,40
BBBTPP,BPBPT,TPPBPB,5,39
BBBPPP,PBPBT,BPPPBP,5,42
PPBPPB,BTBTT,BPTPPT,5,21
PPPPPP,PBPBT,TPPBBP,5,18
BBPBPP,BPBPT,PPTBBB,5,36
BBPPBP,PBPBT,PBBPPT,5,52
PBBPPB,BPBPT,TTBBBB,5,11
PTPBBP,PBPBT,PPPBBB,5,10
PPBBPB,PBPBT,PBBPTB,5,21
BPTBBP,PBPBT,PPBPBP,5,10
BPPTBB,PBPBT,BBPBPB,5,12
BTBBPB,PBPBT,TBBPPB,5,21
PBBBPP,PBPBT,PPBBBP,5,25
BBTPPB,PBPBT,BBPBTB,5,24
TPBBPP,BTBTT,BBPTPP,5,37
PPPPPP,BPBPT,BBBBBB,5,12
PBBPBP,BPBPT,BPPTPT,5,19
PPPPPB,PBPBT,PBPPPP,5,29
PPPBBP,PTPTT,BBPBBP,5,33
BBPPPP,PBPBT,TTTBBB,5,11
PBTPBP,BPBPT,PTPBTB,5,40
PBTPBB,BPBPT,BBBBPB,5,14
BTBPPP,BPBPT,PPBBBP,5,22
PPBBBP,PBPBT,BPTBTB,5,43
BBBBPP,TBTBT,BTBTBB,5,13
BBPPPP,BPBPT,BPBPBP,5,32
PTBPBP,BPBPT,BPBPBB,5,41
BBBBBB,PBPBT,BBBBTP,5,26
PBBBPB,TPTPT,PBBPBP,5,34
BBBPPB,BPBPT,PBBBPP,5,15
BBBBPB,BPBPT,PTPBTP,5,33
PBBPPP,BPBPT,PBPBPP,5,23
BPPPPB,PBPBT,BPPBPP,5,13
BPBPPP,BPBPT,BBPPBP,5,16
PPBTPP,PBPBT,PBBPBP,5,18
PPTBBB,PBPBT,PPBPPP,5,16
PBPPBP,PBPBT,PBPBBP,5,27
PBPBPP,BPBPT,BBPBBB,5,24
BBPTPB,BPBPT,PTBBPP,5,38
BPPBBP,BPBPT,BPPBBP,5,33
PBPPBT,PBPBT,PBBPPB,5,37
PBBPPP,PBPBT,BPBBPP,5,38
PTBTPB,PBPBT,BBPBPB,5,48
BBBBPT,BPBPT,BBBBPB,5,32
TBBPBB,BPBPT,BBPBPP,5,34
PPBPPB,BPBPT,BBBPBB,5,34
PPBBBP,PBPBT,PPPPTP,5,31
BPBBPB,PBPBT,BPBBPP,5,24
BPBBPB,BPBPT,PPBPPB,5,15
BPBBPB,BPBPT,PPBPPB,5,15
PPPPPP,PBPBT,BPPBTP,5,21
BBBBPP,PBPBT,PBBPPP,5,43
BPBBPP,TBTBT,BPBBBB,5,17
TBBBPP,BPBPT,BPPPPB,5,22
BPBPBP,PBPBT,PBTBPB,5,39
BBPBBB,BPBPT,PPBTPP,5,46
BBPBPP,PBPBT,PBPBPP,5,17
PBBTPP,BPBPT,PPBBBB,5,20
PBTBPP,BPBPT,PBBBPB,5,46
PPPPPP,BPBPT,PTBPBP,5,52
BTPPPP,PBPBT,TPPTBP,5,30
PPBTPB,PBPBT,BPBBBT,5,41
PPBPBB,BPBPT,TBBBPB,5,43
PPPBTB,BPBPT,BPTTPB,5,15
BBPBBB,PBPBT,PBPBBB,5,26
PBBTBB,PBPBT,BPTBPP,5,46
PBBTBB,PBPBT,BPTBPP,5,46
BBBBPB,PBPBT,TPBPPB,5,47
PPBBPP,PBPBT,BBPPBP,5,16
PPBPBP,PBPBT,PTPBPP,5,29
TPBPPP,BPBPT,BBBBPB,5,41
PBBPBT,PBPBT,PTPPPP,5,11
PBBPBT,PBPBT,PTPPPP,5,11
BPBBBB,BPBPT,PBBBPP,5,14
PBBBPB,BPBPT,PPBBPB,5,40
BPBBBB,BPBPT,PBBBPP,5,14
PBBBPB,BPBPT,PPBBPB,5,40
PPPPPT,PBPBT,PBBPBB,5,35
BPBBBB,BPBPT,BBBPPP,5,21
PBTBBB,BPBPT,BPBBTP,5,44
BBBBPP,PBPBT,BBBBTB,5,45
PPBPTT,BPBPT,PBPPBB,5,29
BPBBPT,PBPBT,PPBPPB,5,52
BPBBTB,BPBPT,PBBPPP,5,11
BBPPPB,BPBPT,BPPPPP,5,11
BTBPPP,PBPBT,PPBPBB,5,22
PBBBPB,PBPBT,PPPPBP,5,46
PPPPTP,BPBPT,PBPPPB,5,47
TPPBBP,PBPBT,PPBTPB,5,31
BPBPPT,PBPBT,TPPPBB,5,50
PTPPPB,BPBPT,BBPBBT,5,35
BBBBBP,PTPTT,PPBTBT,5,27
TBBTPB,PBPBT,PPPPPB,5,19
PPPPBB,PBPBT,PTPBTB,5,31
BBPBTP,BPBPT,BPPPBP,5,34
TBPPBB,BPBPT,BBBPPB,5,13
BPPBPB,BPBPT,PPBTBB,5,17
BBPPPP,PBPBT,PPPBPP,5,34
TBBPPP,PBPBT,PBPPPB,5,42
TPBBPB,BPBPT,BTTPPB,5,20
BPBBPP,BPBPT,BPBBBT,5,15
PBBBTB,BPBPT,PPBPPB,5,27
PBBBPP,BPBPT,BBBPPB,5,31
BBPPBB,BPBPT,PPBBPT,5,19
PTPPBB,BPBPT,BBBTPB,5,34
BBPPPP,BPBPT,BTPPBP,5,13
PTPBTT,BPBPT,BBBBPB,5,35
PPBTTB,PBPBT,PPBBPB,5,29
BPPBPT,PBPBT,BPPBPP,5,30
BBBBBB,PBPBT,BPBBTP,5,42
BPBPPP,BPBPT,TBPPTB,5,38
BPBPPP,BPBPT,TBPPTB,5,38
BBPPPB,PBPBT,TBBPTB,5,46
PBPPBP,PBPBT,BBTPPP,5,35
BPBBBB,PBPBT,TTPPBB,5,48
BBTBBP,BPBPT,PBPBPP,5,47
PTBPPP,BPBPT,BPPBTT,5,24
PPBBBP,PBPBT,BBTPBP,5,44
BBPPPP,PBPBT,PPPBBP,5,44
PPBBPP,BPBPT,BBPPTP,5,19
BBPBBP,BPBPT,PBBPPB,5,21
PPTBBB,BPBPT,PBTPBT,5,11
TPBTBB,BPBPT,TPPBBP,5,24
PBBBPP,PBPBT,BBBBPB,5,34
PBBBBP,BPBPT,PBPBPB,5,40
PPPBPB,PBPBT,PBBBBP,5,21
TPBBBB,PBPBT,PBPBPP,5,31
PPPBPB,PBPBT,PBBBBP,5,21
TPBBBB,PBPBT,PBPBPP,5,31
BBTPBP,PBPBT,PTPBBP,5,30
PTPTPB,TPTPT,PBBBBP,5,48
PPPPBT,BPBPT,PBPBPB,5,22
PTPPBB,PBPBT,TPPPBP,5,40
BPPPTT,BPBPT,PPBBBB,5,23
PBBPPP,BPBPT,TBBPBB,5,21
PBBPPP,BPBPT,TBBPBB,5,21
BBBBBP,PBPBT,PTTPBB,5,34
BPPBPB,PBPBT,BBBPPP,5,34
BPTPPP,BPBPT,BBPPPP,5,13
BTPBBT,BPBPT,BPBPPP,5,42
PBBBBT,BPBPT,PTBPPB,5,27
TBPPPB,PBPBT,BBPPBB,5,44
BPTPPP,PBPBT,PTTBBP,5,26
BPPPBB,TPTPT,TPBBBP,5,41
PTBPBP,BPBPT,BBBBBB,5,28
BPPPPB,BPBPT,BPBTPB,5,41
BBBTPB,BPBPT,BTPBBP,5,26
PPPBBB,BPBPT,BTBPBP,5,52
PPBBPB,PBPBT,TPBPBP,5,17
PPBPBP,BPBPT,PBBBBP,5,49
PBBPBB,BPBPT,BBPTPP,5,48
BBPPPP,PBPBT,PBPBPT,5,35
PBPBTP,BPBPT,PBBPTP,5,41
PBPPPP,BPBPT,BPBPPP,5,15
BPBPBP,BPBPT,TPBPBB,5,18
PPPBPP,BTBTT,PBPBTT,5,43
PBTBTT,PBPBT,TPBBBP,5,48
PTBPBP,BPBPT,PPPBBB,5,40
PPBBBB,PBPBT,BPBPPT,5,33
BBPPBB,BPBPT,BBBBBP,5,45
BBBPBP,PBPBT,PBPPBB,5,16
BPPBPB,BPBPT,BPBBBP,5,19
BBPTPP,PBPBT,BPBPPP,5,14
BBPBTP,PBPBT,BPBBPP,5,45
BBPBTP,PBPBT,BPBBPP,5,45
BPBTPP,PTPTT,PBPBPB,5,48
TBBBPP,PBPBT,BBPPPP,5,37
PPPBPB,PBPBT,PTPPPP,5,51
PPPBPB,PBPBT,PTPPPP,5,51
PBBBBP,PBPBT,BTBTBP,5,44
BTTPPP,BPBPT,PBPBPP,5,33
BPPPBB,PBPBT,PPBBPP,5,32
BPPBPB,BPBPT,PBBBBP,5,41
PTPBBB,BPBPT,PBTBTB,5,50
PPBTBB,PBPBT,BBPPPB,5,44
PPBTBB,PBPBT,BBPPPB,5,44
PPPPBP,BPBPT,BPBPPP,5,14
BPPBPP,BPBPT,TBPPPP,5,22
BBPPBP,PBPBT,PBPPPB,5,33
BBBBBP,BPBPT,PPPPPB,5,35
BBPPTB,BPBPT,PPPBTB,5,45
TBBPBB,BPBPT,BBBBPB,5,23
TBPBPB,PBPBT,BBTBPB,5,47
PPBBBP,PBPBT,BBPBPB,5,34
PPPBBP,PBPBT,PBPBPB,5,38
TPBBBP,PBPBT,BBBBPP,5,35
BBPBBB,BPBPT,BBPBPB,5,44
BBPBBB,BPBPT,PPPBPP,5,23
BTTBPT,BPBPT,PTPPPB,5,21
BPBBBB,BPBPT,PPBBBB,5,35
BPPBPP,BPBPT,PPPPTP,5,12
PBPBBP,BPBPT,BTPBBT,5,24
BBBBTB,BPBPT,BBBPBP,5,15
TBBBPP,BPBPT,PPBBPP,5,39
BBBPBB,BPBPT,BPBPPB,5,16
TPPPBB,BPBPT,PBPBBB,5,18
BBPPPB,BPBPT,TBBBPB,5,37
BTBPBB,BPBPT,BBBPBB,5,15
PBPBBP,PBPBT,PBBPBB,5,35
BBBBPB,PBPBT,BPPPPB,5,14
PBPTBP,TPTPT,BBBBBT,5,40
BPPPPB,PBPBT,PPBBBB,5,19
BBPTTP,PBPBT,PPBPBP,5,47
BBBPPB,BPBPT,BPPBPB,5,23
BBPBTB,PBPBT,PPPPPP,5,16
BBPPBP,BPBPT,PPBBBP,5,44
PBPBBB,BPBPT,BPBBPP,5,20
BPPBBP,BPBPT,PBBTBT,5,47
BPBPBP,BPBPT,BPBPBB,5,10
BPPTBB,PBPBT,PPPPPP,5,12
BPPTPP,PBPBT,BPBBBB,5,41
BBPBPB,BPBPT,BPPPBB,5,30
BTPBPB,BPBPT,PPTTBP,5,35
PBBPBB,PBPBT,PPBTBP,5,14
BPPBBB,BPBPT,BTPBPB,5,33
TBBPPP,BPBPT,BBPPBP,5,24
BPBBBB,PBPBT,BTBPBB,5,40
PPTPPP,PBPBT,BPPPPP,5,35
PPBTPB,BPBPT,BPBPBB,5,53
BPBBBB,PBPBT,BPBBPP,5,28
PPPBPP,PBPBT,BTPPBP,5,32
BPPPBP,PBPBT,PBPBBB,5,22
BPTBBB,BPBPT,BBBTBP,5,28
BBPBPP,PTPTT,PPPTPP,5,16
PPBPPP,PBPBT,PPPBTB,5,10
BBPBPP,PBPBT,BPBPBP,5,29
PBPBPB,PBPBT,TBPPBB,5,41
PPPBTB,BPBPT,PBBTTP,5,51
PBPTPT,PBPBT,BPBPBP,5,21
BPBTBP,BPBPT,BTBPTB,5,28
BTPBTP,BPBPT,TTBTPP,5,12
BBPPPB,PBPBT,PBBTBT,5,15
BPBPPB,PBPBT,BBBBBT,5,40
BBPPPB,PBPBT,PBBTBT,5,15
BBPPPB,PBPBT,PBBTBT,5,15
BPPPBP,BPBPT,BBBPPP,5,37
TBPTPB,PBPBT,PBBBBP,5,12
TBPTPB,PBPBT,PBBBBP,5,12
BPBBBP,PBPBT,PPBPBP,5,13
BPBPPB,BPBPT,PPPTPP,5,26
PBPPPT,BPBPT,BBBBPT,5,53
BBPPBT,PBPBT,TPBBPB,5,13
BBPPBT,PBPBT,TPBBPB,5,13
PPBBPP,PBPBT,TBPBPB,5,13
PPPPPB,PTPTT,PPPPPB,5,36
PPPPPB,PTPTT,PPPPPB,5,36
PPPPPB,TPTPT,BTPBBB,5,17
PPPPPB,TPTPT,BTPBBB,5,17
PBTBBP,PBPBT,BBTBBT,5,23
TPPBTB,PBPBT,PBBBBB,5,19
PPPPBP,PBPBT,BBTPPB,5,24
PPBPBB,BPBPT,PBPPBB,5,11
PPBPPP,PBPBT,PPPTTP,5,24
BBPPPB,BPBPT,PPPBBP,5,34
BPBPBB,BPBPT,BBBPBB,5,15
BPPPTP,BPBPT,BPTBTP,5,31
BPPBBB,BPBPT,BBPTBP,5,11
PBTTBB,PBPBT,BPPBBP,5,45
BTPPPB,PBPBT,PBPBPB,5,39
BTPPPB,PBPBT,PBPBPB,5,39
BPPPPP,BPBPT,BPTTBB,5,21
TPBPBB,BPBPT,PPBPBP,5,22
PPPBTB,BPBPT,PBPBBP,5,30
BPPBBB,PBPBT,PBBTPP,5,18
PPPBPP,BPBPT,PPBBTP,5,35
TPPBTP,TBTBT,BPPPBB,5,17
PPPPPP,PBPBT,BBBPBP,5,21
BBBTBP,PBPBT,BBBPBB,5,18
BPPTBB,BPBPT,BBPTPP,5,27
BPBBBB,BPBPT,BPBBBB,5,34
BBBPBB,PBPBT,BBBBPB,5,21
BBPBBB,BPBPT,BBPPBB,5,11
PPBBPP,BPBPT,PBPBPT,5,13
BPBPTP,BPBPT,PBPPPP,5,19
BBPPPP,BPBPT,BPBBBP,5,19
PBBBBP,PBPBT,BBBTPB,5,31
PTPPPP,BPBPT,BPBBBT,5,47
BBBPBB,BPBPT,BPPBTB,5,34
PBBBBB,BPBPT,BPPBPB,5,21
TTPBBP,PBPBT,PTPBTP,5,48
PBPBBB,BPBPT,PPPPBB,5,12
PTBBPB,BPBPT,BBBBPB,5,36
BPPBBB,BPBPT,TBBBBP,5,35
PBTBBB,BPBPT,PPPBBB,5,25
BBTBBB,BPBPT,PBPPTT,5,17
TBPPTP,PBPBT,TBPPBB,5,22
PPBBBP,BPBPT,BPPBPB,5,21
PBPBBP,BPBPT,BPBBBP,5,35
PBPBBP,BPBPT,BPBBBP,5,35
BPTBPP,PTPTT,BTTPPB,5,14
PBBPBB,BPBPT,BBBTBP,5,35
PPBPTP,PBPBT,BPBBPP,5,25
BPPBBP,BPBPT,TPPBTB,5,33
BPPBBP,BPBPT,TPPBTB,5,33
BBBBTP,BPBPT,PPBPPT,5,17
TPPBBP,BPBPT,PBPBBB,5,25
TPBBBP,PBPBT,BPPPBP,5,10
TBBBPP,BPBPT,BBPPBB,5,23
PBPTPB,BPBPT,BBBBPB,5,17
PBBBPT,PBPBT,BBBBBB,5,16
PPPPTT,BPBPT,TPBPPB,5,27
BBPPPT,PBPBT,BPPBBP,5,11
PPBBBB,PBPBT,PBTBPB,5,40
PBBPTB,PBPBT,TBPPBP,5,31
BPPBBP,BPBPT,PPPBTB,5,27
BPBBBB,BPBPT,PBBPPP,5,39
TBPBBP,BPBPT,PBBPBB,5,10
PBPBBP,BPBPT,PPBBPP,5,26
PPPBBB,BPBPT,BBPPPP,5,26
PBBBPB,BPBPT,PBPBTB,5,31
BBPBPT,PBPBT,BPBBPB,5,36
PBBTPB,BPBPT,TBBBPB,5,12
BBPBBB,BPBPT,PBBPBP,5,45
TBTPBP,BPBPT,BBPPPB,5,48
BTBBTB,BTBTT,BTBBBB,5,46
PPPBBB,BPBPT,BBBPTB,5,38
PPBBPP,BPBPT,TBBBBB,5,16
BBTBTB,BPBPT,BBPBPB,5,35
BPTBBP,BPBPT,BPPPBB,5,43
PTBTPP,PBPBT,PPPPPB,5,33
BBPBTB,BPBPT,PBBPTT,5,10
PBBBBB,BPBPT,BBBPPT,5,44
BPBBBP,PBPBT,BBBPPT,5,43
BPBBBP,PBPBT,BBBPPT,5,43
PPBPBB,PBPBT,PPPBBB,5,48
PPBPBB,PBPBT,PPPBBB,5,48
BBBBTP,PBPBT,BTPBPT,5,23
PPPPBP,TPTPT,TPPPPB,5,45
BPBBBP,PBPBT,BPPPBP,5,20
BPBBBP,PBPBT,BPPPBP,5,20
PBBPBB,PBPBT,TBBPPP,5,44
BBBTPB,BPBPT,BPPBBB,5,43
PPBBBB,PBPBT,BBBBPP,5,39
BBBTPB,BPBPT,BPPBBB,5,43
BBBPBP,PBPBT,TPBBBB,5,34
BBBPBP,PBPBT,TPBBBB,5,34
PPBTBB,BPBPT,TPBBTP,5,11
PBPBBP,PBPBT,PPPPPP,5,39
TBPBBP,BPBPT,PPBBPB,5,51
BBBBPB,BPBPT,PBBTPB,5,48
TBPPTP,PBPBT,PBBPPB,5,28
BBPPBB,BPBPT,BBPBPP,5,50
BTPBPP,BPBPT,PPPBTB,5,11
PPPPBP,TBTBT,TBBBBB,5,16
PPPPBP,TBTBT,TBBBBB,5,16
BBBTBB,PBPBT,BPPPBP,5,35
PBBPBP,BPBPT,BBPPTB,5,21
BPPPPP,PBPBT,PBBPPP,5,23
BPBBBT,TBTBT,BPBTBP,5,36
PPTPTB,BPBPT,PBBPPP,5,18
BBTBBB,PBPBT,PPBBPP,5,45
PPBBBB,BPBPT,PPBBPP,5,26
BTBPBP,PTPTT,PBBTTP,5,43
BBBBBB,BPBPT,PBPBBB,5,20
BPPBBP,PBPBT,BPBBBP,5,15
BPPPPP,BPBPT,PBBBBP,5,19
BPPTPP,BPBPT,BPPBBB,5,17
BTPPBB,PBPBT,BTPBPB,5,36
PPBBPP,PBPBT,BBPTPP,5,20
PBBBBT,PBPBT,BBBPBP,5,42
PBTBBB,PBPBT,BPBPBT,5,50
BPPBBP,BTBTT,BPPBPB,5,26
TBBTTB,BPBPT,TPTPTB,5,26
BBPBPT,TPTPT,BPBBPB,5,31
BBPBPB,BPBPT,PPBBPP,5,24
TBPBBB,PBPBT,BBPPTT,5,49
TTPPBB,PTPTT,BPBPPP,5,35
PBTPPP,PBPBT,BPBBPB,5,42
PTPTBB,PBPBT,BBTPPB,5,19
PPPBPB,BPBPT,BPPPPP,5,29
BBPPBP,BPBPT,TBBBTP,5,46
BBPTBT,BPBPT,BPBPPP,5,47
BBPTBT,BPBPT,BPBPPP,5,47
BBPPPB,PBPBT,BPBTPP,5,39
BPPBPP,BPBPT,BPPBPT,5,10
BPPPPB,BPBPT,BPBBBB,5,10
BBTBBP,BPBPT,BPTBPB,5,34
PTPPTB,BPBPT,BPBBBP,5,47
BPBBBP,BPBPT,TBPBPB,5,36
BBBBPB,BPBPT,BBBBPB,5,16
BBPPPT,PBPBT,BBPPBP,5,41
BPBBPB,BPBPT,PBPPTP,5,14
BPPPBP,PBPBT,BBPTBB,5,30
BPPPBP,PBPBT,BBPTBB,5,30
PPBPPB,BPBPT,TPPBBB,5,22
BBPBPP,PBPBT,PPTBBP,5,43
PPPBBB,PBPBT,BPBPPP,5,32
BTBPPT,PBPBT,BBPPPP,5,30
BBTBPB,PBPBT,PTBBBB,5,51
BTPPBB,BPBPT,BPPPTB,5,48
BTTPBB,BPBPT,BBBPPT,5,44
BPBTTB,PBPBT,PPPBPB,5,10
PPPBPB,BPBPT,PBBBBB,5,21
TPPPBP,PBPBT,BBPBPP,5,19
PPBBPP,PBPBT,BTBBPB,5,12
PBTBTB,BPBPT,PPPBBB,5,20
BPBPPP,PBPBT,PBTBTB,5,30
PBTBTB,BPBPT,PPBTPB,5,41
BBBBBP,BPBPT,BPPPBP,5,24
PBPPPP,PBPBT,PBPPBB,5,40
BPTBPB,BPBPT,TPPTPB,5,10
PBBBBB,BPBPT,PPPBBP,5,32
BPPBPP,BPBPT,TTBBBP,5,27
PPPBBP,PBPBT,BPBPBB,5,23
BBPPBB,PBPBT,PPBBBB,5,35
BPBPPB,PBPBT,PPBPBP,5,53
PBPPBP,PBPBT,BBPPPB,5,32
PBPPBP,PBPBT,PPPBBP,5,45
PPBPBB,PBPBT,BPPPBP,5,24
PPBPBB,PBPBT,BPPPBP,5,24
PPBPBB,PBPBT,BPPPBP,5,24
PPBPBB,PBPBT,BPPPBP,5,24
BPPPPP,PBPBT,PPPPBP,5,37
PBBPPB,BPBPT,PPPBBP,5,13
PPPBTB,TPTPT,PPPPBT,5,14
BPPBPB,PBPBT,PBBPPB,5,28
BPPPPP,PBPBT,PBPPPP,5,47
PBTPBB,PBPBT,BBPPPB,5,47
PBPPBB,TBTBT,PBBTBB,5,31
BBPBBT,PBPBT,BBPBBT,5,29
PBBBPB,PBPBT,TBBPBB,5,30
PBBBTB,BPBPT,BPTPBB,5,13
PBBPBP,PBPBT,TBTPPB,5,19
BPTBBB,PBPBT,BTBBPP,5,40
PPPBPP,BPBPT,BBPBBT,5,25
PPBPPP,BPBPT,TBTPBB,5,24
PPPBPP,PBPBT,BBPPPB,5,40
PPPBBP,PBPBT,PTPBPB,5,27
BPBTPT,PBPBT,TPTPBP,5,34
BTTPTP,BPBPT,BPBPBP,5,43
BBBTBB,BPBPT,BPBPPP,5,10
PBBPPP,BPBPT,BPPPTB,5,27
PPPPBP,PBPBT,PPPBPB,5,36
BTBPPB,PBPBT,PBPPPB,5,10
TBPTBB,PBPBT,PPBTPP,5,29
PPPPPP,PBPBT,BPBPPB,5,32
BBBBBB,PBPBT,BPTBPP,5,37
BBBBPP,PBPBT,PPTPPB,5,21
PPPPBB,BPBPT,BTBBPT,5,33
PTPBBB,BPBPT,PBPPBP,5,11
BPBBPB,BPBPT,PBBPPP,5,11
PPPPPB,BPBPT,BPBBBP,5,23
BBBBPP,PBPBT,BBPBPT,5,35
PBPBTB,BPBPT,PBTBPT,5,41
PPPPBB,PBPBT,TPTBBP,5,46
PPBBBB,BPBPT,PBPBPP,5,14
PPPPBP,BPBPT,PBPTPP,5,43
PBBPTP,PBPBT,BBBBPP,5,42
PPBBBP,BPBPT,PBBPPP,5,34
BPBBPB,PBPBT,PPBBTB,5,20
PBBPBB,BPBPT,BBBPBB,5,16
BPBBBB,PBPBT,TBBBTB,5,36
TBTPPB,BPBPT,BBBPBB,5,16
BBTTPP,PBPBT,PPPBBB,5,31
BPPTPB,PBPBT,BPBTBP,5,27
PPBTPB,PBPBT,BBPBBB,5,52
PBTBBB,BPBPT,BBPBPT,5,44
BPBPTB,BPBPT,PTBBBP,5,50
PBBBBB,PBPBT,PPTBPB,5,22
PBBPBB,BPBPT,TBBPPP,5,40
PPBPBB,BPBPT,PBPPBB,5,47
BBBBPP,PBPBT,BPBPPB,5,22
BPPPTB,BPBPT,PPBPBP,5,40
PPBPBB,PBPBT,PPBBPP,5,44
BPBPPB,PBPBT,BPPBPB,5,25
BBBBBB,BPBPT,PPBBPB,5,17
PBBTBP,BPBPT,PBPBPB,5,29
BPTPBP,BPBPT,PBTBBB,5,37
BTBPPP,PBPBT,PPBBBB,5,19
PBPBPB,PBPBT,PBPBBP,5,38
BPBBPT,TPTPT,PBPBPP,5,44
PTTPBP,PBPBT,BBTBTB,5,26
BPPPPT,PBPBT,TTPPBB,5,30
BPPPPT,PBPBT,TTPPBB,5,30
BPPPPT,PBPBT,TTPPBB,5,30
BTBPBT,PBPBT,BTBBBB,5,14
BTTPPB,PBPBT,BPPTPB,5,10
PPBPPP,BPBPT,BBTBPB,5,13
PPBBTT,PBPBT,PBPBBB,5,25
PPPPPB,BPBPT,BBBTPP,5,43
PPPBBT,PBPBT,PPPPPB,5,28
PTPPBB,PBPBT,BTPPBP,5,48
TPTBBB,BPBPT,BTBPTB,5,16
PBTBBP,PBPBT,TBBTBP,5,46
BPPPPP,BPBPT,PPPTTB,5,30
PPTTBP,PBPBT,PPBPBT,5,42
PBPBTP,PBPBT,BBTPPB,5,48
BPPBBB,BPBPT,PPBBBB,5,17
BPPTBB,BPBPT,BPBBBB,5,34
PBTPBB,PTPTT,TBPPPB,5,36
BBTPPB,BPBPT,PPPBPP,5,48
BBTPPB,BPBPT,PPPBPP,5,48
BBPPPT,BPBPT,PTPPTT,5,22
BPPPTP,PTPTT,PPBBPP,5,39
PBBTBB,BPBPT,PTPBBP,5,49
PPTBPP,PBPBT,PBBPPP,5,30
BBBPBB,TBTBT,BPBBPP,5,26
TBPBBP,PBPBT,PBBBPB,5,36
PPBBBP,BPBPT,PPTPPP,5,10
TPPTPP,PBPBT,BBPPBB,5,20
PBBBBP,PBPBT,PBBTBT,5,30
PBBBBP,PBPBT,PBBTBT,5,30
