before,pingpong_tie,after,length,tie_position
PBBBBT,PBPBT,PPPBBP,5,46
BPPPBB,PBPBT,BPPBPP,5,11
PBBBBP,BPBPT,BPBPBB,5,46
BBTTBB,BPBPT,BPBPPT,5,30
PBBBTB,PBPBT,BBBBPB,5,28
PBTBBB,BPBPT,TPBBBB,5,36
BBBPPT,PBPBT,BBTPPP,5,59
BPBBBB,PBPBT,BBPBPP,5,18
PBBBPB,BPBPT,BPBPPP,5,24
BBPTTB,BPBPT,TTPBBB,5,50
BPPPBB,BPBPT,PBPPPB,5,24
BPPBBB,TPTPT,BPBBPB,5,44
PPTTPP,BPBPT,PPPBPB,5,24
PPBBPP,BPBPT,PPBBBP,5,55
BPPPBP,PBPBT,BBPBBP,5,43
TBBPBB,PBPBT,BBTBPB,5,53
PBPBBB,PBPBT,BPBPPB,5,36
BBPPPB,PBPBT,BPBBBB,5,53
PPBPPB,PBPBT,PBPPPP,5,51
PBBPBB,PTPTT,PBBBBP,5,58
PPPBBT,PBPBT,BTPTTB,5,50
BPPBBP,BPBPT,TBPPPP,5,19
PPTPBB,BPBPT,PBTBBB,5,57
BBPPBB,PBPBT,PBPPPB,5,18
PBPBBP,BPBPT,BBBPBT,5,20
PBBBPP,PBPBT,BTBPPT,5,53
PPTBPB,PBPBT,BPPTPP,5,17
BBTTPP,BPBPT,PBPBBB,5,13
PBPPBB,PBPBT,BBPBPP,5,32
PPPPBP,PBPBT,BBPPBP,5,47
PBPBPP,PBPBT,BPBPBP,5,50
PPBBBP,BPBPT,PPBPBP,5,21
PPPPPB,PBPBT,TBBBTB,5,53
BPPTPB,BPBPT,BTBPPT,5,41
TTPBBB,BPBPT,BBBBTP,5,47
TBBBTB,PBPBT,BPPBPP,5,22
BBPBPB,BPBPT,TTBPPP,5,32
BPPPPB,PBPBT,BPBBBP,5,45
BPBBPP,PBPBT,PPPBBB,5,14
PPTBBB,PBPBT,BPPBBT,5,24
PPPBBB,PBPBT,BPPPBB,5,13
TBTPBP,BPBPT,BBPBTT,5,14
BBBPPP,PBPBT,PBTTBP,5,31
TPBBBP,PBPBT,PPTBBP,5,45
PBPBPP,BPBPT,BBPPBB,5,36
PBBPBB,PBPBT,BPBBTB,5,10
PBPBPP,PBPBT,BBPTPB,5,18
PBPBBP,BPBPT,BBPBPP,5,16
BPBPPB,PBPBT,BBPPPB,5,31
BBPBBP,TPTPT,BBPPPP,5,11
BPBPPP,PBPBT,PBTPPP,5,51
PBTPPP,PTPTT,BPPBPP,5,62
BTBPBB,PBPBT,BBBBBP,5,47
BPPPPB,PBPBT,BBPPBB,5,45
BTBBPB,PBPBT,PTPPPP,5,42
BPPBPB,PBPBT,BPBBPB,5,29
BBTTPP,BPBPT,PPPPPB,5,45
PTBPPT,PBPBT,PBPBPP,5,15
BPPTPP,BPBPT,BPPPBB,5,17
BPPPBB,PBPBT,BPPTBP,5,28
BPPBPB,PBPBT,PPBPPB,5,54
PBBPBB,BPBPT,BPBPBB,5,17
BPPPBB,BPBPT,PPTPPP,5,28
PPBTBP,PBPBT,BPTBPP,5,51
BBPBBP,PBPBT,PPTPBP,5,11
BBTTPB,PBPBT,PPBBTP,5,36
BTBPBB,BPBPT,PPBBPB,5,12
PBPBPP,PBPBT,BPBPTP,5,38
PPBPBT,BPBPT,PBTPBB,5,43
BPBPBB,BPBPT,BBTBPP,5,56
BPBPBB,BPBPT,BBPPBB,5,44
PPTPPP,BPBPT,BPBBBB,5,44
PPBBPP,PBPBT,PBBPPP,5,55
PBBTTP,PBPBT,BBBBPB,5,60
PPBPPB,PBPBT,BBBPPP,5,14
BBPBPP,PBPBT,BBPPBP,5,36
BPBTTP,PBPBT,PBBPBP,5,18
PBTPBB,PBPBT,BPPBBP,5,26
PBBPBT,BPBPT,BPBPPP,5,39
BPBBBB,TBTBT,BPBPBB,5,46
BBPBTP,PBPBT,PPBBPB,5,15
PBBTPB,BPBPT,PPPBBB,5,30
PBBPBB,BPBPT,PTBPPB,5,14
BTBBPB,PBPBT,BPPPBP,5,17
BBBBPP,BPBPT,PBBBBP,5,19
PPBBTT,BPBPT,PBBPPP,5,57
PBPBPB,PBPBT,PBPPTB,5,11
TPPBBT,BPBPT,BTBPPP,5,36
PPBBPB,PBPBT,BBPBTB,5,16
TBPPPB,BPBPT,BBBPBB,5,54
BBPBBB,PBPBT,PBBPPB,5,19
BPPBBB,BTBTT,BPPPPP,5,35
BBPPPB,TPTPT,PPBBPB,5,20
BPTTPP,PBPBT,BPPTBB,5,23
PBBBTB,PBPBT,BTBBPP,5,61
BBPBPB,BPBPT,PBPPPP,5,41
BPPBBB,PBPBT,TPBBBB,5,33
BPBBPP,BPBPT,BPBBPP,5,27
BBTPPP,BPBPT,PPBBPP,5,21
BPBPPB,PBPBT,BPPPBB,5,57
PPBTPB,BPBPT,BBTTBB,5,44
BPBPPB,BTBTT,PBPPPB,5,38
BPBPBP,PBPBT,BBBBBP,5,13
BBBBBP,BPBPT,PBBPPT,5,40
PBBPBP,BPBPT,PPBBPB,5,35
BBPBPB,BPBPT,BPBBBT,5,41
PTPBPB,BPBPT,PTPPPP,5,27
PPPPBP,PBPBT,PPPPBB,5,30
BBBPPP,BPBPT,PPPBBP,5,21
BPPTPB,PBPBT,BPPTPB,5,53
PBBPBP,BPBPT,BPPBBB,5,23
PPBBBB,BPBPT,BBBPPT,5,21
PPPPPB,PBPBT,BPPPBB,5,13
BBBBPP,PBPBT,PPPPBP,5,22
BPBBPP,BPBPT,BPBBPB,5,29
BPPPBP,BPBPT,PPPPPB,5,27
