before,bantai,after,pattern,direction
PPPPPP,BPPBBB,PBBPPP,1-2-3,ขึ้น
BPPBBB,PBBPPPP,BPPPPB,1-2-4,ขึ้น
BPPPPB,PPPPBBBP,BPPBPP,4-3-1,ลง
BPPBBP,BBBBPPB,PPBPPB,4-2-1,ลง
PPPPBB,PPPBBP,BPPBBB,3-2-1,ลง
PPPBBP,BPPBBBBB,PBBBBP,1-2-5,ขึ้น
BBBBPB,PBBPPPP,BBPPPP,1-2-4,ขึ้น
BPBPPB,PBBPPP,BBBPBP,1-2-3,ขึ้น
BBBPPP,BBBBBPPB,PPPPBB,5-2-1,ลง
BBPPPP,BPPBBBB,PBPPPB,1-2-4,ขึ้น
PPBPPB,PBBPPPPPPPP,BPBPPP,1-2-8,ขึ้น
PPPPBB,PPPPBBP,BBPBBB,4-2-1,ลง
PPBPPB,PPPPBBBP,BBPBBP,4-3-1,ลง
PPPPPP,BPPPPBBBBBBBBB,PBBPBP,1-4-9,ขึ้น
