Game_ID,Before,Pattern,After,Full_Sequence
Game_45,BBPPB,PPP,BBPPP,BBPPBPPPBBPPP
Game_45,PPPBB,PPP,BPPPB,PPPBBPPPBPPPB
Game_45,BPPPB,PPP,BBPPB,BPPPBPPPBBPPB
Game_45,PBBPP,BBBB,PPBPB,PBBPPBBBBPPBPB
Game_46,PBPPB,PPP,BBBBP,PBPPBPPPBBBBP
Game_46,PBPPP,BBBB,PPPPP,PBPPPBBBBPPPPP
Game_46,PPBPB,PPP,BPBPB,PPBPBPPPBPBPB
Game_46,BPPPB,PPP,BB,BPPPBPPPBB
Game_47,BBBBB,PPP,BBPBP,BBBBBPPPBBPBP
Game_47,PPBPB,PPP,BBPPB,PPBPBPPPBBPPB
Game_47,PBBPP,BBB,PPPPB,PBBPPBBBPPPPB
Game_47,PPBBB,PPPP,BB,PPBBBPPPPBB
Game_48,BBBBB,PPPP,BPBPB,BBBBBPPPPBPBPB
Game_48,BPBPB,PPP,BBB,BPBPBPPPBBB
Game_49,PBBPB,PPP,BPPBP,PBBPBPPPBPPBP
Game_49,PPBPB,PPP,BBPPP,PPBPBPPPBBPPP
Game_49,PPPBB,PPP,BBPPP,PPPBBPPPBBPPP
Game_49,PPPBB,PPPP,BPBPP,PPPBBPPPPBPBPP
Game_50,BPPPP,BBB,PPBBP,BPPPPBBBPPBBP
Game_50,BPPBB,PPP,BPPBP,BPPBBPPPBPPBP
Game_50,BPBPB,PPPP,BPPBP,BPBPBPPPPBPPBP
Game_51,BPBPB,PPP,BPPPP,BPBPBPPPBPPPP
Game_51,BPPPB,PPPP,BPBBB,BPPPBPPPPBPBBB
Game_51,PBPPB,PPP,BBPPP,PBPPBPPPBBPPP
Game_51,PPPBB,PPP,BBBBB,PPPBBPPPBBBBB
Game_52,PPPBB,PPP,BPBBB,PPPBBPPPBPBBB
Game_52,PPBBP,BBB,PBPBP,PPBBPBBBPBPBP
Game_53,BBPBB,PPPP,BPBPP,BBPBBPPPPBPBPP
Game_53,PBPBB,PPP,BPPBP,PBPBBPPPBPPBP
Game_53,PBPPB,PPP,BBPBP,PBPPBPPPBBPBP
Game_53,BPBPB,PPP,BBBBP,BPBPBPPPBBBBP
Game_53,PBPPP,BBBB,PPBBP,PBPPPBBBBPPBBP
Game_53,BPPBB,PPP,BPPPB,BPPBBPPPBPPPB
Game_54,PBPBP,BBB,PBPPP,PBPBPBBBPBPPP
Game_54,BBBPB,PPP,BPBPP,BBBPBPPPBPBPP
Game_54,BPBPP,BBB,PBBPB,BPBPPBBBPBBPB
Game_54,BPBBP,BBBB,PBPPB,BPBBPBBBBPBPPB
Game_54,PPBPP,BBB,PBPBB,PPBPPBBBPBPBB
Game_55,BBBBP,BBB,PPBPB,BBBBPBBBPPBPB
Game_55,BBBBB,PPP,BBBBB,BBBBBPPPBBBBB
Game_56,BPBPB,PPPP,BBPBB,BPBPBPPPPBBPBB
Game_56,PPBBP,BBB,PBPPP,PPBBPBBBPBPPP
Game_56,BBBPB,PPPP,BBBBB,BBBPBPPPPBBBBB
Game_57,BPPBB,PPPP,BPBPB,BPPBBPPPPBPBPB
Game_57,PPPBB,PPP,BB,PPPBBPPPBB
Game_58,BBBBB,PPP,BBBPP,BBBBBPPPBBBPP
Game_58,BBPPP,BBB,PPBPP,BBPPPBBBPPBPP
Game_58,BBPPB,PPPP,BPPPP,BBPPBPPPPBPPPP
Game_58,PPPPB,PPPP,BBBBP,PPPPBPPPPBBBBP
Game_58,BPPPP,BBBB,PBBBP,BPPPPBBBBPBBBP
Game_58,BBBPB,PPP,BBBPB,BBBPBPPPBBBPB
Game_59,PBPPB,PPPP,BBBPP,PBPPBPPPPBBBPP
Game_59,BPPPP,BBB,PPPBB,BPPPPBBBPPPBB
Game_59,PPBBB,PPP,BBPPB,PPBBBPPPBBPPB
Game_60,PPBBB,PPP,BBPPP,PPBBBPPPBBPPP
Game_60,PPPBB,PPP,BPPBB,PPPBBPPPBPPBB
Game_60,PPBBP,BBB,PBPPB,PPBBPBBBPBPPB
Game_61,BPBBB,PPP,BBPPP,BPBBBPPPBBPPP
Game_61,BBBBP,BBBB,PPPPB,BBBBPBBBBPPPPB
Game_61,PBBBB,PPPP,BBB,PBBBBPPPPBBB
Game_63,PBPBP,BBB,PPPBP,PBPBPBBBPPPBP
Game_63,PPPBP,BBBB,PPPBB,PPPBPBBBBPPPBB
Game_63,PBBBB,PPP,BBPPB,PBBBBPPPBBPPB
Game_64,PBPBB,PPP,BPPBB,PBPBBPPPBPPBB
Game_64,BBPBP,BBBB,PPPBB,BBPBPBBBBPPPBB
Game_65,PBBBB,PPPP,BPBPP,PBBBBPPPPBPBPP
Game_65,PPBPB,PPP,BBBPP,PPBPBPPPBBBPP
Game_65,BBBPB,PPPP,BBB,BBBPBPPPPBBB
Game_66,PBBPP,BBB,PPBBB,PBBPPBBBPPBBB
Game_66,BPBBP,BBB,PBPBB,BPBBPBBBPBPBB
Game_67,BBPPB,PPP,BBPPB,BBPPBPPPBBPPB
Game_67,BPBPB,PPPP,BBBBP,BPBPBPPPPBBBBP
Game_67,BPPPP,BBBB,PPPPP,BPPPPBBBBPPPPP
Game_67,PBBPB,PPPP,B,PBBPBPPPPB
Game_68,BBBBB,PPP,BPBBP,BBBBBPPPBPBBP
Game_68,PBPBB,PPP,BPPPB,PBPBBPPPBPPPB
Game_68,BPPPB,PPP,BBBBB,BPPPBPPPBBBBB
Game_68,BPPBP,BBB,PPPBB,BPPBPBBBPPPBB
Game_68,PPPBB,PPPP,BBPPP,PPPBBPPPPBBPPP
Game_69,PPBPB,PPP,BPBBP,PPBPBPPPBPBBP
Game_69,BBPBB,PPP,BPBBP,BBPBBPPPBPBBP
Game_70,PPBBB,PPPP,BBBPB,PPBBBPPPPBBBPB
Game_70,BPPPP,BBB,PBPPB,BPPPPBBBPBPPB
Game_71,PBPBB,PPP,BPBBP,PBPBBPPPBPBBP
Game_71,PPPBB,PPPP,BPPBB,PPPBBPPPPBPPBB
Game_71,PPBPP,BBBB,PPBPP,PPBPPBBBBPPBPP
Game_72,BBBPP,BBB,PBBPB,BBBPPBBBPBBPB
Game_72,BPBBP,BBBB,PBPBB,BPBBPBBBBPBPBB
Game_72,BBPBP,BBBB,PBBBP,BBPBPBBBBPBBBP
Game_72,BBBBP,BBB,PPPPB,BBBBPBBBPPPPB
Game_73,PBBPP,BBBB,PBPPB,PBBPPBBBBPBPPB
Game_73,BPBPB,PPP,BBBPP,BPBPBPPPBBBPP
Game_73,PBPPP,BBB,PPPPB,PBPPPBBBPPPPB
Game_73,PPBBB,PPPP,BPBPB,PPBBBPPPPBPBPB
Game_73,PBPBP,BBBB,PBB,PBPBPBBBBPBB
Game_74,BBPPB,PPP,BPPPP,BBPPBPPPBPPPP
Game_74,BPPPB,PPPP,BPBPB,BPPPBPPPPBPBPB
Game_74,BPPBB,PPP,BBB,BPPBBPPPBBB
Game_75,BBPBB,PPP,BBPPP,BBPBBPPPBBPPP
Game_75,PPPBB,PPP,BPBPB,PPPBBPPPBPBPB
Game_75,PPPBB,PPPP,BPPPP,PPPBBPPPPBPPPP
Game_75,PPPPP,BBB,P,PPPPPBBBP
Game_76,PBBPB,PPP,BBPPB,PBBPBPPPBBPPB
Game_76,PPBPP,BBB,PBBBB,PPBPPBBBPBBBB
Game_76,PBBBP,BBBB,PPBPB,PBBBPBBBBPPBPB
Game_77,PBBPB,PPP,BBBPB,PBBPBPPPBBBPB
Game_77,PBPPP,BBB,PBPPB,PBPPPBBBPBPPB
Game_78,PBBPB,PPP,BBBBP,PBBPBPPPBBBBP
Game_78,PBPPP,BBBB,PBPPB,PBPPPBBBBPBPPB
Game_78,PPBPP,BBBB,PPBBB,PPBPPBBBBPPBBB
Game_78,BBBPP,BBB,PPPBP,BBBPPBBBPPPBP
Game_78,PPBBB,PPP,BPPB,PPBBBPPPBPPB
Game_79,PBBBB,PPP,BPBBB,PBBBBPPPBPBBB
Game_79,PPPBP,BBB,PBBBB,PPPBPBBBPBBBB
Game_80,PBBPP,BBB,PPPBB,PBBPPBBBPPPBB
Game_80,PPBBB,PPP,BBBPB,PPBBBPPPBBBPB
Game_80,BBPPP,BBB,PBBP,BBPPPBBBPBBP
Game_81,PPBBB,PPP,BPPPP,PPBBBPPPBPPPP
Game_81,PPPBP,BBB,PBPBB,PPPBPBBBPBPBB
Game_81,BBPBP,BBB,PPPBB,BBPBPBBBPPPBB
Game_81,BPBBB,PPP,BBPBP,BPBBBPPPBBPBP
Game_81,BPBPP,BBB,PPPPB,BPBPPBBBPPPPB
Game_81,PPBBB,PPPP,BBP,PPBBBPPPPBBP
Game_82,PPBPB,PPP,BPPBB,PPBPBPPPBPPBB
Game_82,PPPPB,PPPP,B,PPPPBPPPPB
Game_83,PPPBP,BBBB,PBPBB,PPPBPBBBBPBPBB
Game_83,BBBBP,BBB,PPPP,BBBBPBBBPPPP
Game_84,PBBBP,BBBB,PBPBB,PBBBPBBBBPBPBB
Game_84,BBPPB,PPPP,BBPBP,BBPPBPPPPBBPBP
Game_84,BBPBP,BBB,PPPBP,BBPBPBBBPPPBP
Game_84,BPBBB,PPP,BPBBP,BPBBBPPPBPBBP
Game_85,BBBPP,BBBB,PPBPB,BBBPPBBBBPPBPB
Game_85,BPPBP,BBB,PPBPP,BPPBPBBBPPBPP
Game_85,BBPPB,PPPP,BPPBP,BBPPBPPPPBPPBP
Game_86,PBBBP,BBBB,PPBBB,PBBBPBBBBPPBBB
Game_86,BBBPP,BBB,PBPBB,BBBPPBBBPBPBB
Game_86,BBPBP,BBBB,PBBPB,BBPBPBBBBPBBPB
Game_87,BBPPB,PPPP,BPBPP,BBPPBPPPPBPBPP
Game_87,BBPBB,PPPP,BPBPB,BBPBBPPPPBPBPB
Game_87,BPPBP,BBBB,PPBBB,BPPBPBBBBPPBBB
Game_87,BBBPP,BBB,PBBBB,BBBPPBBBPBBBB
Game_88,BBPBB,PPP,BPPBB,BBPBBPPPBPPBB
Game_88,PBBPB,PPP,BPBBB,PBBPBPPPBPBBB
Game_88,PPPBP,BBBB,PPBBP,PPPBPBBBBPPBBP
Game_88,PBPBB,PPPP,BPPPP,PBPBBPPPPBPPPP
Game_88,PPPPB,PPPP,BP,PPPPBPPPPBP
